abs,ad_date,ad_title,ad_url,airbag,alarm,arka_bagaj,bike_id,cbs,city,color,gps,isıtmalı_elcik,karbon,km,koltuk_altı_bagaj,led_sinyal,led_stop,nos,price,sahibinden,ses_sistemi,sırt_desteği,xenon_far,yan_koruma_barları,year,çanta_sistemi_(_üçlü_),çekiş_kontrolü,çift_ayak,ön_cam,ön_koruma_barı
False,02.4.2018,APACHI 150,/ilan/vasita-motosiklet-apachi-apachi-150-548277438/detay,False,False,False,548277438,False,Mersin,Siyah,False,False,False,50000.0,False,False,False,False,2750.0,True,False,False,False,False,2008.0,False,False,False,False,False
False,03.4.2018,2014 MODEL 2015 ÇIKIŞLI APACHİ RTR 150 29000 KM'DE HATASIZ,/ilan/vasita-motosiklet-apachi-2014-model-2015-cikisli-apachi-rtr-150-29.000-km-de-hatasiz-548630219/detay,False,True,True,548630219,False,İstanbul,Kırmızı,False,False,True,30500.0,False,True,True,False,4500.0,True,False,True,True,True,2014.0,False,False,True,True,True
False,03.4.2018,ÇINAR MOTOR SİZLERİ SENETLE VADELİ MOTOSİKLET SAHİBİ YAPIYOR!!!,/ilan/vasita-motosiklet-apachi-cinar-motor-sizleri-senetle-vadeli-motosiklet-sahibi-yapiyor-548456860/detay,False,False,False,548456860,False,İstanbul,Sarı,False,False,False,16182.0,False,False,True,False,6000.0,False,False,False,False,True,2016.0,False,False,True,True,False
True,03.4.2018,SIFIR AYARINDA,/ilan/vasita-motosiklet-apachi-sifir-ayarinda-548431206/detay,False,False,True,548431206,False,Gaziantep,Kırmızı,False,False,True,8400.0,False,False,True,False,6400.0,True,False,True,False,True,2016.0,False,False,False,False,True
False,02.4.2018,KARA KECİM SATILIK,/ilan/vasita-motosiklet-apachi-kara-kecim-satilik-548271307/detay,False,False,False,548271307,False,Adıyaman,Siyah,False,False,False,32.0,False,False,False,False,3700.0,True,False,False,False,False,2012.0,False,False,False,False,False
False,31.3.2018,apaçe 150 motor,/ilan/vasita-motosiklet-apachi-apace-150-motor-547368554/detay,False,False,False,547368554,False,İstanbul,Siyah,False,False,False,43000.0,False,False,False,False,4500.0,True,False,False,False,False,2012.0,False,False,False,False,False
True,01.4.2018,2014 MODEL APACHE 18 BINDE,/ilan/vasita-motosiklet-apachi-2014-model-apache-18-binde-547897422/detay,False,True,False,547897422,False,İstanbul,Beyaz,False,False,False,18000.0,False,False,False,False,4400.0,True,False,False,False,True,2014.0,False,False,False,False,True
False,31.3.2018,Siyah İnci,/ilan/vasita-motosiklet-apachi-siyah-inci-547209075/detay,False,False,False,547209075,False,Adana,Siyah,False,False,False,47000.0,False,False,False,False,4000.0,True,False,False,False,False,2011.0,False,False,False,False,False
False,02.4.2018,Apachi 2012 satılık,/ilan/vasita-motosiklet-apachi-apachi-2012-satilik-547599966/detay,False,False,False,547599966,False,İstanbul,Sarı,False,False,False,37500.0,False,False,False,False,3250.0,True,False,False,False,False,2012.0,False,True,False,False,True
False,28.3.2018,2012 MODEL 2013 CIKISLI 10000 KM TERTEMİZ,/ilan/vasita-motosiklet-apachi-2012-model-2013-cikisli-10000-km-tertemiz-546383527/detay,False,False,False,546383527,False,İstanbul,Gri,False,False,False,10500.0,True,False,False,False,5000.0,True,False,False,True,False,2012.0,False,False,True,True,False
