,abs,ad_date,ad_title,ad_url,airbag,alarm,arka_bagaj,bike_id,canta_sistemi__uclu_,cbs,cekis_kontrolu,cift_ayak,city,color,gps,isitmali_elcik,karbon,km,koltuk_alti_bagaj,led_sinyal,led_stop,nos,on_cam,on_koruma_bari,price,sahibinden,ses_sistemi,sirt_destegi,xenon_far,yan_koruma_barlari,year
0,True,05.2.2018,BAJAJ PULSAR NS 200 // BAYİDEN//KREDİ KARTINA 9 TAKSİT İMKANI,/ilan/vasita-motosiklet-bajaj-bajaj-pulsar-ns-200-bayiden-kredi-kartina-9-taksit-imkani-432169837/detay,False,False,False,432169837,False,False,False,False,Konya,Siyah,False,False,False,0.0,False,False,False,False,False,False,12499.0,False,False,False,False,False,2017.0
1,False,01.3.2018,2014 model,/ilan/vasita-motosiklet-bajaj-2014-model-533700525/detay,False,False,False,533700525,False,False,False,False,İstanbul,Mavi,False,False,False,114000.0,False,False,False,False,False,False,6500.0,True,False,False,False,False,2014.0
2,False,28.2.2018,2015 model12km,/ilan/vasita-motosiklet-bajaj-2015-model12..km-533342264/detay,False,False,False,533342264,False,False,False,False,Van,Siyah,False,False,False,12000.0,False,False,False,False,False,False,8500.0,True,False,False,False,False,2015.0
3,False,27.2.2018,SERVIS BAKIMLI YAZA HAZIR,/ilan/vasita-motosiklet-bajaj-servis-bakimli-yaza-hazir-533153907/detay,False,False,False,533153907,False,False,False,False,Konya,Kırmızı,False,False,False,26000.0,False,False,False,False,False,False,7650.0,True,False,False,False,False,2016.0
4,False,27.2.2018,14250 KM DE TEMİZ 2016 PULSAR,/ilan/vasita-motosiklet-bajaj-14.250-km-de-temiz-2016-pulsar-533118978/detay,False,False,False,533118978,False,False,False,False,Kocaeli,Siyah,False,False,False,14250.0,False,False,True,False,False,False,8250.0,True,False,False,False,False,2016.0
5,False,27.2.2018,Titiz kullanılmış 200 NS,/ilan/vasita-motosiklet-bajaj-titiz-kullanilmis-200-ns-533116162/detay,False,False,False,533116162,False,False,False,False,Bursa,Siyah,False,False,False,9300.0,False,False,False,False,False,False,8100.0,True,False,False,False,False,2016.0
6,False,01.3.2018,Motor Takaslı,/ilan/vasita-motosiklet-bajaj-motor-takasli-533778253/detay,False,False,False,533778253,False,False,False,False,İstanbul,Beyaz,False,False,False,40000.0,False,False,False,False,False,False,12500.0,True,False,False,False,False,2016.0
7,False,27.2.2018,kazasız sorunsuz pulsar,/ilan/vasita-motosiklet-bajaj-kazasiz-sorunsuz-pulsar-533096031/detay,False,False,False,533096031,False,False,False,False,Antalya,Siyah,False,False,False,14500.0,False,False,False,False,False,False,8500.0,True,False,False,False,False,2015.0
8,False,01.3.2018,Sorunsuz Temiz Pulsar 200 NS,/ilan/vasita-motosiklet-bajaj-sorunsuz-temiz-pulsar-200-ns-532515273/detay,False,False,False,532515273,False,False,False,True,Aydın,Siyah,False,False,False,9145.0,False,False,True,False,False,False,8800.0,True,False,False,False,False,2016.0
9,False,27.2.2018,Pulsar 200 NS,/ilan/vasita-motosiklet-bajaj-pulsar-200-ns-533062747/detay,False,False,False,533062747,False,False,False,False,Düzce,Kırmızı,False,False,False,29500.0,False,False,False,False,False,False,7250.0,True,False,False,False,False,2014.0
10,False,27.2.2018,ÇİZİKSİZ 200 NS-TAKAS DÜŞÜNÜLÜR,/ilan/vasita-motosiklet-bajaj-ciziksiz-200-ns-takas-dusunulur-532889149/detay,False,False,False,532889149,False,False,False,True,Adana,Çift Renk,False,False,False,7300.0,False,False,False,False,False,False,9250.0,True,False,False,False,True,2016.0
11,False,01.3.2018,AKBELLER MOTORDAN BOL EKTRALI PULSAR 200 NS,/ilan/vasita-motosiklet-bajaj-akbeller-motordan-bol-ektrali-pulsar-200-ns-515394656/detay,False,False,False,515394656,False,False,False,False,Konya,Siyah,False,False,False,31000.0,False,False,False,False,False,False,8500.0,False,False,False,False,False,2015.0
12,False,27.2.2018,Temiz Bajaj pulsar NS 200 ekstralı 2015 model,/ilan/vasita-motosiklet-bajaj-temiz-bajaj-pulsar-ns-200-ekstrali-2015-model-532955919/detay,False,False,True,532955919,False,False,True,True,İstanbul,Çift Renk,False,False,False,27200.0,True,True,True,False,False,True,8500.0,True,False,True,False,True,2015.0
13,False,28.2.2018,BAJAJ - PULSAR NS200 EURO4 - MotoREF,/ilan/vasita-motosiklet-bajaj-bajaj-pulsar-ns200-euro4-motoref-382525616/detay,False,False,False,382525616,False,False,False,True,İstanbul,Çift Renk,False,False,False,0.0,False,False,False,False,True,False,14490.0,False,False,False,False,True,2017.0
14,True,27.2.2018,KIRMIZININ ELLİ 1 TONU ),/ilan/vasita-motosiklet-bajaj-kirmizinin-elli-1-tonu-532928767/detay,False,False,False,532928767,False,False,False,False,Uşak,Çift Renk,False,False,False,6500.0,False,False,False,False,False,False,11500.0,True,False,False,False,False,2017.0
15,True,27.2.2018,2017 model 5000 km'de cruiser motorlar ile takas düşünüyorum,/ilan/vasita-motosiklet-bajaj-2017-model-5000-km-de-cruiser-motorlar-ile-takas-dusunuyorum-532919964/detay,False,False,False,532919964,False,False,False,True,Tekirdağ,Çift Renk,False,False,False,4948.0,False,False,True,False,True,False,12000.0,True,False,False,False,True,2017.0
16,False,01.3.2018,kazasız boyasız,/ilan/vasita-motosiklet-bajaj-kazasiz-boyasiz-533570510/detay,False,False,False,533570510,True,False,False,False,Antalya,Siyah,False,False,False,14000.0,False,False,False,False,True,False,9100.0,True,False,False,False,True,2015.0
