"abs","ad_date","ad_title","ad_url","airbag","alarm","arka_bagaj","bike_id","canta_sistemi__uclu_","cbs","cekis_kontrolu","cift_ayak","city","color","gps","isitmali_elcik","karbon","km","koltuk_alti_bagaj","led_sinyal","led_stop","nos","on_cam","on_koruma_bari","price","sahibinden","ses_sistemi","sirt_destegi","xenon_far","yan_koruma_barlari","year"
"False","09.11.2017","2014 Model Full Bakımlı 35000 Km de PULSAR NS 200","/ilan/vasita-motosiklet-bajaj-2014-model-full-bakimli-35.000-km-de-pulsar-ns-200-500275043/detay","False","False","False",500275043,"False","False","False","False","İstanbul","Siyah","False","False","False","35000.0","False","False","False","False","False","False","7200.0","False","False","False","False","False","2014.0"
"False","08.11.2017","BAJAJ PULSAR 200 NS_ANINDA BANKA KREDİSİ_ÜÇERLERDE","/ilan/vasita-motosiklet-bajaj-bajaj-pulsar-200-ns_aninda-banka-kredisi_ucerlerde-499917817/detay","False","False","False",499917817,"False","False","False","False","İstanbul","Kırmızı","False","False","False","0.0","False","False","False","False","False","False","11300.0","False","False","False","False","False","2017.0"
"False","16.11.2017","Tertemiz bukadar temizi yok","/ilan/vasita-motosiklet-bajaj-tertemiz-bukadar-temizi-yok-502144595/detay","False","False","False",502144595,"False","False","False","False","Ankara","Kırmızı","False","False","False","13000.0","False","False","False","False","False","False","9250.0","True","False","False","False","False","2014.0"
"False","15.11.2017","⭐️ MotoFinans ⭐️ Senetle Motosiklet Pulsar 200","/ilan/vasita-motosiklet-bajaj-motofinans-senetle-motosiklet-pulsar-200-492544195/detay","False","False","False",492544195,"False","False","False","False","İstanbul","Siyah","False","False","False","42000.0","False","False","False","False","False","False","8500.0","False","False","False","False","False","2014.0"
"False","15.11.2017","Acil temiz sahibinden siyah ns 200","/ilan/vasita-motosiklet-bajaj-acil-temiz-sahibinden-siyah-ns-200-502185245/detay","False","False","False",502185245,"False","False","False","True","İstanbul","Siyah","False","False","False","19000.0","False","False","False","False","True","False","8100.0","True","False","False","False","False","2016.0"
"False","15.11.2017","acıl satılık","/ilan/vasita-motosiklet-bajaj-acil-satilik-502180443/detay","False","False","False",502180443,"False","False","False","False","İzmir","Kırmızı","False","False","False","25000.0","False","False","False","False","False","False","7750.0","True","False","False","False","False","2014.0"
"False","15.11.2017","full extrali full servis bakimli kazasiz tramersiz","/ilan/vasita-motosiklet-bajaj-full-extrali-full-servis-bakimli-kazasiz-tramersiz-502054385/detay","False","False","True",502054385,"True","False","False","True","İstanbul","Siyah","False","True","False","35000.0","False","False","True","False","True","False","9500.0","True","False","False","True","False","2015.0"
"True","16.11.2017","BAJAJ PULSAR 200NS NAKİTE BÜYÜK İNDİRİM İÇİN ARAYIN YEŞİLYURT","/ilan/vasita-motosiklet-bajaj-bajaj-pulsar-200ns-nakite-buyuk-indirim-icin-arayin-yesilyurt-448178220/detay","False","False","False",448178220,"False","False","False","True","İstanbul","Çift Renk","False","False","False","0.0","False","False","False","False","False","False","11300.0","False","False","False","False","False","2017.0"
"False","15.11.2017","2016,8800 kmde,kusursuz,bol extralı NS 200","/ilan/vasita-motosiklet-bajaj-2016%2C8800-kmde%2Ckusursuz%2Cbol-extrali-ns-200-473628729/detay","False","False","False",473628729,"False","False","False","True","Manisa","Siyah","False","False","False","8800.0","True","False","False","False","False","False","8150.0","True","False","False","False","True","2016.0"
"True","15.11.2017","PEŞİN FİYATINA 12 TAKSİT İMKANI _ BAY-MOTO'DA","/ilan/vasita-motosiklet-bajaj-pesin-fiyatina-12-taksit-imkani-bay-moto-da-410344135/detay","False","False","False",410344135,"False","False","False","True","İstanbul","Siyah","False","False","False","0.0","True","False","True","False","True","False","11300.0","False","False","False","False","True","2017.0"
