,abs,ad_date,ad_title,ad_url,airbag,alarm,arka_bagaj,bike_id,canta_sistemi__uclu_,cbs,cekis_kontrolu,cift_ayak,city,color,gps,isitmali_elcik,karbon,km,koltuk_alti_bagaj,led_sinyal,led_stop,nos,on_cam,on_koruma_bari,price,sahibinden,ses_sistemi,sirt_destegi,xenon_far,yan_koruma_barlari,year
0,False,16.11.2017,Sıfır kusur çok temiz rs,/ilan/vasita-motosiklet-bajaj-sifir-kusur-cok-temiz-rs-502538273/detay,False,False,False,502538273,False,False,False,False,İstanbul,Kırmızı,False,False,False,8000.0,False,True,True,False,False,False,11000.0,True,False,False,False,False,2016.0
1,True,14.11.2017,TEMİZ BAKIMLI RS200,/ilan/vasita-motosiklet-bajaj-temiz-bakimli-rs200-501581839/detay,False,True,False,501581839,False,False,False,False,İstanbul,Kırmızı,False,False,False,5900.0,False,True,True,False,False,False,10250.0,True,False,False,False,False,2016.0
2,True,16.11.2017,Pulsar rs 200,/ilan/vasita-motosiklet-bajaj-pulsar-rs-200-502261310/detay,False,False,False,502261310,False,False,False,False,Konya,Siyah,False,False,False,900.0,False,False,False,False,False,False,12300.0,True,False,False,False,False,2017.0
3,True,14.11.2017,BAJAJ PULSAR RS 200 ABS 2015 5000 KM,/ilan/vasita-motosiklet-bajaj-bajaj-pulsar-rs-200-abs-2015-5000-km-501560791/detay,False,False,False,501560791,False,False,False,False,Bursa,Sarı,False,False,False,5000.0,True,True,True,False,True,False,10750.0,True,False,False,False,False,2015.0
4,True,14.11.2017,KAZASIZ,/ilan/vasita-motosiklet-bajaj-kazasiz-501466904/detay,False,False,False,501466904,False,False,False,False,İzmir,Sarı,False,False,False,17000.0,False,False,False,False,False,False,9250.0,True,False,False,False,False,2015.0
5,False,13.11.2017,DİKKATLERİ ÜSTÜNÜZE ÇEKİN BU TİPTE BU SESTE EMSALİ YOK,/ilan/vasita-motosiklet-bajaj-dikkatleri-ustunuze-cekin-bu-tipte-bu-seste-emsali-yok-501474678/detay,False,False,False,501474678,False,False,False,False,İzmir,Kırmızı,False,False,False,14000.0,False,False,False,False,False,False,9000.0,True,False,False,False,False,2016.0
6,True,13.11.2017,DİŞ HEKİMİNDEN TERTEMİZ !!!,/ilan/vasita-motosiklet-bajaj-dis-hekiminden-tertemiz-501390581/detay,False,False,False,501390581,False,False,False,False,Denizli,Siyah,False,False,False,6500.0,False,False,False,False,False,False,9900.0,True,False,False,False,False,2016.0
7,True,15.11.2017,ARK OTOMOTİVDEN SADECE 490 KM DE PULSAR RS 200,/ilan/vasita-motosiklet-bajaj-ark-otomotivden-sadece-490-km-de-pulsar-rs-200-474738517/detay,False,False,False,474738517,False,False,False,False,Antalya,Sarı,False,False,True,430.0,False,False,True,False,False,False,11500.0,False,False,False,True,False,2015.0
8,True,13.11.2017,PULSAR RS 200-KARTA TAKSIT VE TAKAS IMKANI RAMAZAN KARAKOYUN,/ilan/vasita-motosiklet-bajaj-pulsar-rs-200-karta-taksit-ve-takas-imkani-ramazan-karakoyun-491914688/detay,False,False,False,491914688,False,False,False,False,İzmir,Çift Renk,False,False,False,0.0,False,False,False,False,False,False,13600.0,False,False,False,False,False,2017.0
9,True,13.11.2017,İLK SAHİBİNDEN HATASIZ KAZASIZ RS 200,/ilan/vasita-motosiklet-bajaj-ilk-sahibinden-hatasiz-kazasiz-rs-200-501202062/detay,False,False,False,501202062,False,False,False,False,Ankara,Siyah,False,False,False,5800.0,False,True,True,False,True,False,11750.0,True,False,False,False,False,2015.0
10,False,12.11.2017,Pulsar RS 200 2016 model,/ilan/vasita-motosiklet-bajaj-pulsar-rs-200-2016-model-501186835/detay,False,False,False,501186835,False,False,False,False,İstanbul,Sarı,False,False,False,4350.0,False,False,False,False,False,False,10700.0,True,False,False,False,False,2016.0
11,True,14.11.2017,2016 RS200 YAZA HAZIR,/ilan/vasita-motosiklet-bajaj-2016-rs200-yaza-hazir-501801975/detay,False,False,False,501801975,False,False,False,False,Tekirdağ,Kırmızı,False,False,False,19000.0,False,False,False,False,False,False,10000.0,True,False,False,False,False,2016.0
12,False,14.11.2017,pulsar rs200,/ilan/vasita-motosiklet-bajaj-pulsar-rs200-501727547/detay,False,False,False,501727547,False,False,False,False,Kocaeli,Kırmızı,False,False,False,17000.0,False,False,False,False,False,False,10500.0,True,False,False,False,False,2016.0
13,True,16.11.2017,Kırmızı şeytan hatasız tertemiz bu paraya ABS Lİ makina,/ilan/vasita-motosiklet-bajaj-kirmizi-seytan-hatasiz-tertemiz-bu-paraya-abs-li-makina-502299679/detay,False,False,False,502299679,False,False,False,False,İstanbul,Kırmızı,False,False,False,18100.0,False,False,False,False,False,False,10900.0,True,False,False,False,False,2015.0
14,True,14.11.2017,6500km 2016 temiz RS 200,/ilan/vasita-motosiklet-bajaj-6.500km-2016-temiz-rs-200-501535193/detay,False,False,False,501535193,False,False,False,False,Kayseri,Siyah,False,False,False,6600.0,False,False,False,False,False,False,11750.0,True,False,False,False,False,2016.0
15,True,11.11.2017,Sarı Pulsar 200RS,/ilan/vasita-motosiklet-bajaj-sari-pulsar-200rs-500874300/detay,False,False,False,500874300,False,False,False,False,İstanbul,Sarı,False,False,False,5050.0,False,False,False,False,False,False,10750.0,True,False,False,False,False,2016.0
