"abs","ad_date","ad_title","ad_url","airbag","alarm","arka_bagaj","bike_id","canta_sistemi__uclu_","cbs","cekis_kontrolu","cift_ayak","city","color","gps","isitmali_elcik","karbon","km","koltuk_alti_bagaj","led_sinyal","led_stop","nos","on_cam","on_koruma_bari","price","sahibinden","ses_sistemi","sirt_destegi","xenon_far","yan_koruma_barlari","year"
"False","16.11.2017","BMW F650 GS 2005 MODEL","/ilan/vasita-motosiklet-bmw-bmw-f650-gs-2005-model-502274570/detay","False","False","False",502274570,"False","False","False","False","Niğde","Kırmızı","False","False","False","42000.0","False","False","False","False","False","False","20000.0","True","False","False","False","False","2005.0"
"True","15.11.2017","F 650 GS - Orjinal","/ilan/vasita-motosiklet-bmw-f-650-gs-orjinal-480092339/detay","False","False","True",480092339,"False","False","False","True","Bursa","Kırmızı","False","True","False","82000.0","False","False","True","False","True","False","16000.0","True","False","True","True","False","2001.0"
"True","15.11.2017","BONUS KARTA 9 TAKSİTLİ BAKIMLI GS","/ilan/vasita-motosiklet-bmw-bonus-karta-9-taksitli-bakimli-gs-430473904/detay","False","False","True",430473904,"True","False","False","True","Karaman","Siyah","False","True","False","71300.0","False","False","True","False","True","False","14750.0","True","False","False","False","False","2002.0"
"True","13.11.2017","BMW F650 GS 2000 Model 62000 km Bakımlı","/ilan/vasita-motosiklet-bmw-bmw-f650-gs-2000-model-62.000-km-bakimli-501365059/detay","False","False","False",501365059,"False","False","False","False","İstanbul","Siyah","False","False","False","62000.0","False","False","False","False","False","False","12250.0","True","False","False","False","True","2000.0"
"True","16.11.2017","BMW F650 GS orjinal km ve boyasız 2005 model","/ilan/vasita-motosiklet-bmw-bmw-f650-gs-orjinal-km-ve-boyasiz-2005-model-502412683/detay","False","False","True",502412683,"True","False","False","True","İzmir","Gümüş Gri","False","True","False","57000.0","False","False","False","False","False","True","17000.0","True","False","False","False","False","2005.0"
"False","14.11.2017","sorunsuz bmw çift bujili","/ilan/vasita-motosiklet-bmw-sorunsuz-bmw-cift-bujili-501515366/detay","False","False","False",501515366,"False","False","False","False","Rize","Kırmızı","False","False","False","61450.0","False","False","False","False","False","False","10000.0","True","False","False","False","False","1998.0"
"True","10.11.2017","Orijinal km de, masrafsız, aksesuarlı","/ilan/vasita-motosiklet-bmw-orijinal-km-de-masrafsiz-aksesuarli-500630737/detay","False","False","False",500630737,"True","False","False","True","Muğla","Mavi","False","True","False","38500.0","False","False","False","False","False","False","20000.0","True","False","False","False","False","2006.0"
"True","14.11.2017","sarışın f 650 gs","/ilan/vasita-motosiklet-bmw-sarisin-f-650-gs-501569362/detay","False","False","False",501569362,"False","False","False","False","Konya","Sarı","False","False","False","79000.0","False","False","False","False","False","False","15250.0","True","False","False","False","False","2004.0"
"True","09.11.2017","BMW F650GS 2011","/ilan/vasita-motosiklet-bmw-bmw-f650gs-2011-500333785/detay","False","False","True",500333785,"False","False","False","True","Bursa","Mavi","False","True","False","42000.0","False","False","False","False","True","False","37250.0","True","False","True","False","True","2011.0"
"True","11.11.2017","SAHİBİNDEN TEMİZ BAKIMLI BMW F650 GS, İHTİYAÇTAN SATILIK","/ilan/vasita-motosiklet-bmw-sahibinden-temiz-bakimli-bmw-f650-gs-ihtiyactan-satilik-464121010/detay","False","False","True",464121010,"False","False","False","False","İzmir","Sarı","False","False","False","44000.0","False","False","False","False","False","False","11000.0","True","False","False","False","False","2000.0"
"True","12.11.2017","saybinden satılıktır","/ilan/vasita-motosiklet-bmw-saybinden-satiliktir-501144567/detay","False","False","False",501144567,"False","False","False","True","İstanbul","Gri","False","True","False","27000.0","False","True","True","False","True","False","42000.0","True","False","False","True","False","2011.0"
"True","08.11.2017","25916 KMDE ÇOK TEMİZ F 650 GS ORJİNAL 3Lü ÇANTALI","/ilan/vasita-motosiklet-bmw-25916-kmde-cok-temiz-f-650-gs-orjinal-3lu-cantali-499837611/detay","False","False","True",499837611,"True","False","False","True","Çanakkale","Gri","False","True","False","25916.0","False","False","False","False","True","False","21500.0","True","False","False","False","False","2006.0"
"True","12.11.2017","2004 cift buji motorrad yan cantali","/ilan/vasita-motosiklet-bmw-2004-cift-buji-motorrad-yan-cantali-501179956/detay","False","False","False",501179956,"True","False","False","False","İstanbul","Siyah","False","False","False","90000.0","False","False","False","False","False","False","17750.0","True","False","False","False","True","2004.0"
"False","09.11.2017","temiz bmw almak isteyenler kaçırmasın","/ilan/vasita-motosiklet-bmw-temiz-bmw-almak-isteyenler-kacirmasin-500295765/detay","False","False","False",500295765,"False","False","False","False","Hatay","Sarı","False","False","False","27416.0","False","False","False","False","False","False","15000.0","True","False","False","False","False","2001.0"
"True","06.11.2017","Temiz F 650GS","/ilan/vasita-motosiklet-bmw-temiz-f-650gs-499458680/detay","False","False","True",499458680,"False","False","False","True","Aydın","Sarı","False","True","False","80000.0","False","False","False","False","True","False","14000.0","True","False","False","True","False","2000.0"
"False","08.11.2017","30YIL SERİSİ HATASIZ GARAJ MOTORU","/ilan/vasita-motosiklet-bmw-30.yil-serisi-hatasiz-garaj-motoru-499964535/detay","False","False","False",499964535,"False","False","False","False","İstanbul","Beyaz","False","False","False","22000.0","False","False","False","False","False","False","38750.0","True","False","False","False","False","2011.0"
"True","06.11.2017","Alçak şase TR TEK OKUYUN","/ilan/vasita-motosiklet-bmw-alcak-sase-tr-tek-okuyun-499346202/detay","False","False","False",499346202,"False","False","True","False","İstanbul","Turuncu","False","False","False","1650.0","False","False","False","False","False","True","38100.0","True","False","True","False","True","2012.0"
"True","07.11.2017","PAZARLIKLI Masrafsız F650","/ilan/vasita-motosiklet-bmw-pazarlikli-masrafsiz-f650-499677171/detay","False","False","True",499677171,"False","False","False","True","Kocaeli","Turuncu","False","True","False","29700.0","True","True","True","False","True","True","34000.0","True","False","True","False","True","2011.0"
"True","06.11.2017","MOTOTALYA GARAGE' den BMW F 650GS EMSALSİZ","/ilan/vasita-motosiklet-bmw-mototalya-garage-den-bmw-f-650gs-emsalsiz-499422418/detay","False","True","True",499422418,"True","False","False","True","Antalya","Gümüş Gri","False","True","False","43000.0","False","False","False","False","True","False","44750.0","False","False","True","True","True","2011.0"
"True","05.11.2017","Temiz F650 GS","/ilan/vasita-motosiklet-bmw-temiz-f650-gs-499087063/detay","False","False","False",499087063,"True","False","False","True","Muğla","Gri","False","True","False","81000.0","False","False","False","False","True","True","12000.0","True","False","True","False","True","2002.0"
"True","05.11.2017","Sahibinden ACİL Satılık kusursuz 2001 model F650GS","/ilan/vasita-motosiklet-bmw-sahibinden-acil-satilik-kusursuz-2001-model-f650gs-456821502/detay","False","False","True",456821502,"True","False","False","True","İzmir","Mavi","False","True","False","60000.0","False","False","False","False","False","False","12700.0","True","False","True","False","False","2001.0"
"True","06.11.2017","GÖRMEYE-ALM­AYA-BİNMEYE DEĞER!!!!!","/ilan/vasita-motosiklet-bmw-gormeye-almaya-binmeye-deger-499476057/detay","False","False","True",499476057,"False","False","False","True","İzmir","Kırmızı","False","True","False","50000.0","False","False","False","False","False","True","22500.0","True","False","False","False","True","2008.0"
