,abs,ad_date,ad_title,ad_url,airbag,alarm,arka_bagaj,bike_id,canta_sistemi__uclu_,cbs,cekis_kontrolu,cift_ayak,city,color,gps,isitmali_elcik,karbon,km,koltuk_alti_bagaj,led_sinyal,led_stop,nos,on_cam,on_koruma_bari,price,sahibinden,ses_sistemi,sirt_destegi,xenon_far,yan_koruma_barlari,year
0,True,23.10.2017,Orjinal km hatasız aksesuarlı gs 1200,/ilan/vasita-motosiklet-bmw-orjinal-km-hatasiz-aksesuarli-gs-1200-473871914/detay,False,True,False,473871914,False,False,False,False,Malatya,Lacivert,False,False,False,60000.0,False,False,False,False,False,False,36500.0,False,False,True,False,True,2006.0
1,False,16.11.2017,Hakan baykoz dan 2006 aksesuarlı,/ilan/vasita-motosiklet-bmw-hakan-baykoz-dan-2006-aksesuarli-502414399/detay,False,False,False,502414399,False,False,False,False,Bursa,Mavi,False,False,False,47000.0,False,False,False,False,False,False,35750.0,True,False,False,False,False,2006.0
2,False,14.11.2017,ÇOK TEMİZ FULL+FULL AKSESUARLI BMW R 1200 GS,/ilan/vasita-motosiklet-bmw-cok-temiz-full-plusfull-aksesuarli-bmw-r-1200-gs-491343653/detay,False,False,True,491343653,False,False,False,False,İstanbul,Siyah,False,False,False,46694.0,False,False,False,False,True,True,90500.0,True,False,False,False,True,2015.0
3,True,16.11.2017,CAN MOTORDAN 2016 BMW R1200GS,/ilan/vasita-motosiklet-bmw-can-motordan-2016-bmw-r1200gs-502531109/detay,False,False,True,502531109,False,False,True,True,Antalya,Siyah,False,True,False,5116.0,False,True,True,False,True,False,97000.0,False,False,True,False,True,2016.0
4,False,16.11.2017,ÇALIK MOTORLU ARAÇLAR ' dan BMW R1200 GS BORUSAN HATASIZ,/ilan/vasita-motosiklet-bmw-calik-motorlu-araclar-dan-bmw-r1200-gs-borusan-hatasiz-502447756/detay,False,False,False,502447756,False,False,False,False,Kocaeli,Gri,False,False,False,63500.0,False,False,False,False,False,False,36500.0,False,False,False,False,False,2006.0
5,False,12.11.2017,ÖNİZ MOTORS DİYOR'Kİ! BMW R 1200 GS İSE ARADIĞINIZ BUDUR,/ilan/vasita-motosiklet-bmw-oniz-motors-diyor-ki-bmw-r-1200-gs-ise-aradiginiz-budur-491280476/detay,False,False,False,491280476,False,False,False,False,İstanbul,Beyaz,False,False,False,38000.0,False,False,False,False,False,False,58500.0,False,False,False,False,False,2012.0
6,False,13.11.2017,HESAPLI 400 ADET ARAÇ AÇILIŞIMIZ 18112017 DE,/ilan/vasita-motosiklet-bmw-hesapli-400-adet-arac-acilisimiz-18.11.2017-de-501511890/detay,False,False,False,501511890,False,False,False,False,İstanbul,Beyaz,False,False,False,12345.0,False,False,False,False,False,False,17000.0,False,False,False,False,False,2008.0
7,True,12.11.2017,ACIL SATILIK YER UÇAĞI BİR HAFTALIĞINA FIYAT 30000,/ilan/vasita-motosiklet-bmw-acil-satilik-yer-ucagi-bir-haftaligina-fiyat-30000-500934566/detay,False,False,True,500934566,True,False,False,True,Antalya,Siyah,False,True,False,95400.0,True,True,True,False,True,True,30000.0,True,False,True,False,True,2007.0
8,True,13.11.2017,2014 1200GS Dynamic ESA Aksesuarlı,/ilan/vasita-motosiklet-bmw-2014-1200gs-dynamic-esa-aksesuarli-501482092/detay,False,False,True,501482092,False,False,True,True,İstanbul,Gümüş Gri,True,True,False,28500.0,False,True,True,False,False,True,82000.0,True,False,False,False,True,2014.0
9,False,13.11.2017,R1200GS Dynamic 21000 Km Aksesuarlı,/ilan/vasita-motosiklet-bmw-r1200gs-dynamic-21000-km-aksesuarli-501434164/detay,False,False,False,501434164,False,False,False,False,Balıkesir,Beyaz,False,False,False,21000.0,False,False,False,False,False,True,91500.0,False,False,True,False,False,2015.0
10,True,13.11.2017,2013 R1200GS 14480km,/ilan/vasita-motosiklet-bmw-2013-r1200gs-14.480km-480497509/detay,False,False,True,480497509,True,False,True,True,İstanbul,Kırmızı,False,True,False,14480.0,False,True,True,False,True,False,81000.0,True,False,True,True,True,2013.0
11,False,11.11.2017,FULL+FULL TRIPLE BLACK,/ilan/vasita-motosiklet-bmw-full-plusfull-triple-black-500688054/detay,False,False,False,500688054,False,False,False,False,Rize,Siyah,False,False,False,13000.0,False,False,False,False,False,False,119000.0,True,False,False,False,False,2016.0
12,True,10.11.2017,2009 MODEL BMW R 1200 GS - ESA LI MODEL,/ilan/vasita-motosiklet-bmw-2009-model-bmw-r-1200-gs-esa-li-model-500618428/detay,False,False,True,500618428,True,False,True,True,İzmir,Mavi,False,True,False,67000.0,False,False,False,False,True,True,52000.0,True,False,True,False,True,2009.0
13,True,12.11.2017,2006 Model 92000km çok temiz 1200GS,/ilan/vasita-motosiklet-bmw-2006-model-92.000km-cok-temiz-1200gs-478152335/detay,False,False,True,478152335,True,False,False,True,İstanbul,Sarı,False,True,False,92500.0,True,False,False,False,True,True,34900.0,True,False,False,False,True,2006.0
