abs,ad_date,ad_title,ad_url,airbag,alarm,arka_bagaj,bike_id,canta_sistemi__uclu_,cbs,cekis_kontrolu,cift_ayak,city,color,gps,isitmali_elcik,karbon,km,koltuk_alti_bagaj,led_sinyal,led_stop,nos,on_cam,on_koruma_bari,price,sahibinden,ses_sistemi,sirt_destegi,xenon_far,yan_koruma_barlari,year
False,06.3.2018,1919 MOTORS DUCATİ MONSTER 696,/ilan/vasita-motosiklet-ducati-1919-motors-ducati-monster-696-525381099/detay,False,False,False,525381099,False,False,False,False,İzmir,Beyaz,False,False,True,48000.0,False,False,False,False,False,False,22750.0,False,False,False,False,False,2012.0
False,05.3.2018,2014 TRAFİĞE ÇIKIŞLI KAZASIZ MONSTER 696,/ilan/vasita-motosiklet-ducati-2014-trafige-cikisli-kazasiz-monster-696-535063189/detay,False,False,False,535063189,False,False,False,False,İstanbul,Kırmızı,False,False,False,23500.0,False,False,False,False,False,False,22750.0,True,False,False,False,False,2014.0
False,27.2.2018,Orijinal monster 696,/ilan/vasita-motosiklet-ducati-orijinal-monster-696-533088198/detay,False,False,False,533088198,False,False,False,False,İstanbul,Kırmızı,False,False,False,19700.0,False,False,False,False,False,False,21500.0,True,False,False,False,False,2012.0
False,02.3.2018,2012 Model Monster 696 Desmo Bakımlı Akrapovic Egzos,/ilan/vasita-motosiklet-ducati-2012-model-monster-696-desmo-bakimli-akrapovic-egzos-534067634/detay,False,False,False,534067634,False,False,False,False,İstanbul,Kırmızı,False,False,False,47000.0,False,False,False,False,False,False,20900.0,False,False,False,False,False,2012.0
False,24.2.2018,İLK GELEN ALIR ustanı al gel full masrafsız,/ilan/vasita-motosiklet-ducati-ilk-gelen-alir-ustani-al-gel-full-masrafsiz-504699242/detay,False,False,False,504699242,False,False,False,False,İstanbul,Kırmızı,False,False,False,36000.0,False,False,False,False,False,False,22000.0,True,False,False,False,False,2013.0
True,23.2.2018,2014 Kirmizi 696 abs +plus paket,/ilan/vasita-motosiklet-ducati-2014-kirmizi-696-abs-plusplus-paket-531850497/detay,False,False,False,531850497,False,False,False,False,İstanbul,Kırmızı,False,False,False,19000.0,False,False,False,False,False,False,29500.0,True,False,False,False,False,2014.0
False,22.2.2018,Full Aksesuar Ducati Monster 696,/ilan/vasita-motosiklet-ducati-full-aksesuar-ducati-monster-696-531306625/detay,False,False,False,531306625,False,False,False,False,İstanbul,Çift Renk,False,False,True,34500.0,False,False,False,False,False,False,19500.0,True,False,False,False,True,2011.0
False,26.2.2018,MONSTER 696 KARBON 2013,/ilan/vasita-motosiklet-ducati-monster-696-karbon-2013-441653238/detay,False,False,False,441653238,False,False,False,False,İstanbul,Gri,False,False,True,21053.0,False,False,False,False,False,False,24500.0,False,False,False,False,False,2013.0
False,22.2.2018,SAHİBİNDEN DUCATİ MONSTER 696 TEMIZ KAZASIZ HASAR KAYITSIZ UYGUN,/ilan/vasita-motosiklet-ducati-sahibinden-ducati-monster-696-temiz-kazasiz-hasar-kayitsiz-uygun-531341169/detay,False,False,False,531341169,False,False,False,False,İstanbul,Beyaz,False,False,False,20000.0,False,False,False,False,False,False,19999.0,True,False,False,False,False,2012.0
True,17.2.2018,Ducati monster çok extralı ve ciğerli motor,/ilan/vasita-motosiklet-ducati-ducati-monster-cok-extrali-ve-cigerli-motor-529563114/detay,False,False,False,529563114,False,False,False,True,İstanbul,Kırmızı,False,False,False,20000.0,False,False,False,False,False,True,22500.0,True,False,False,False,True,2010.0
True,18.2.2018,MOTOCITY DUCATİ 696 abs li servis yedek parça şatış Nazım ÖZSOY,/ilan/vasita-motosiklet-ducati-motocity-ducati-696-abs-li-servis-yedek-parca-satis-nazim-ozsoy-359234670/detay,False,False,False,359234670,False,False,False,False,İstanbul,Kırmızı,False,False,False,13000.0,False,False,False,False,False,False,23250.0,False,False,False,False,True,2013.0
False,10.2.2018,SAHİBİNDEN DUCATI MONSTER 696 TEMİZ TAKAS OLUR ROSSO 3 LASTİK,/ilan/vasita-motosiklet-ducati-sahibinden-ducati-monster-696-temiz-takas-olur-rosso-3-lastik-527181787/detay,False,False,False,527181787,False,False,False,False,İstanbul,Beyaz,False,False,False,20000.0,False,False,False,False,False,False,22999.0,True,False,False,False,False,2013.0
False,01.3.2018,ULUSAN MOTORDAN 2012 MODEL 12300 KM DE DUCATİ MONSTER 696,/ilan/vasita-motosiklet-ducati-ulusan-motordan-2012-model-12.300-km-de-ducati-monster-696-533715958/detay,False,False,False,533715958,False,False,False,False,Ankara,Beyaz,False,False,False,12300.0,False,False,False,False,False,False,25950.0,False,False,False,False,False,2012.0
True,08.2.2018,acil 2012 abs li model beyaz,/ilan/vasita-motosiklet-ducati-acil-2012-abs-li-model-beyaz-526738384/detay,False,False,False,526738384,False,False,False,False,Kocaeli,Beyaz,False,False,False,39000.0,False,False,False,False,False,False,20250.0,True,False,False,False,False,2012.0
False,03.2.2018,"DÜŞÜK CC MOTOR TAKASLI,Hasar Kayıtsız TERTEMİZ DUCATİ MOSTER 696",/ilan/vasita-motosiklet-ducati-dusuk-cc-motor-takasli%2Chasar-kayitsiz-tertemiz-ducati-moster-696-525302388/detay,False,False,False,525302388,False,False,False,False,İstanbul,Siyah,False,False,False,25000.0,False,False,False,False,False,False,22750.0,True,False,False,False,False,2012.0
True,05.2.2018,MONSTER 696 ABS BOL EKSTRALI,/ilan/vasita-motosiklet-ducati-monster-696-abs-bol-ekstrali-525726376/detay,False,True,False,525726376,False,False,False,False,İzmir,Siyah,True,False,True,19000.0,False,True,True,False,True,False,30000.0,True,False,False,False,True,2013.0
True,18.1.2018,Doktordan Kırmızı Şaseli Monster 696 + abs,/ilan/vasita-motosiklet-ducati-doktordan-kirmizi-saseli-monster-696-plus-abs-520874844/detay,False,False,False,520874844,False,False,False,False,İstanbul,Kırmızı,False,False,False,13000.0,True,False,False,False,True,False,29000.0,True,False,False,False,True,2013.0
False,13.1.2018,TÜRKIYE DE DAHA TEMİZİ YOK ORJINAL 1200 KM DE,/ilan/vasita-motosiklet-ducati-turkiye-de-daha-temizi-yok-orjinal-1200-km-de-519510716/detay,False,False,False,519510716,False,False,False,False,Muğla,Beyaz,False,False,False,1200.0,False,False,False,False,False,False,32000.0,True,False,False,False,False,2014.0
True,11.1.2018,TEMİZ DUCATİ MONSTER 696 1 HAFTALIĞINA,/ilan/vasita-motosiklet-ducati-temiz-ducati-monster-696-1-haftaligina-518848141/detay,True,True,False,518848141,False,True,True,False,İstanbul,Siyah,False,False,False,19000.0,False,False,False,False,False,True,16000.0,True,False,True,False,True,2011.0
True,08.1.2018,Desmo Bakımlı Temiz 696(SUPER MOTO/ENDURO TAKASLI),/ilan/vasita-motosiklet-ducati-desmo-bakimli-temiz-696-super-moto-enduro-takasli-516063998/detay,False,False,False,516063998,False,False,False,False,İzmir,Kırmızı,False,False,False,30000.0,False,True,True,False,False,True,24000.0,True,False,False,False,False,2013.0
False,20.10.2017,SAHİBİNDEN SERVİS BAKİMLİ CANAVAR,/ilan/vasita-motosiklet-ducati-sahibinden-servis-bakimli-canavar-494028395/detay,False,False,False,494028395,False,False,False,False,İstanbul,Çift Renk,False,False,False,36000.0,False,True,False,False,False,False,21250.0,True,False,False,False,False,2011.0
True,05.10.2017,Monster 696 ABS,/ilan/vasita-motosiklet-ducati-monster-696-abs-488932984/detay,False,False,False,488932984,False,False,False,False,Tekirdağ,Kırmızı,False,False,False,16000.0,False,False,False,False,False,False,19000.0,True,False,False,False,False,2011.0
True,21.8.2017,SAHİBİNDEN SATILIK DUCATİ MONSTER,/ilan/vasita-motosiklet-ducati-sahibinden-satilik-ducati-monster-472696117/detay,False,False,False,472696117,False,False,False,False,İstanbul,Beyaz,False,False,False,13500.0,False,False,False,False,False,False,21250.0,True,False,False,False,False,2010.0
