abs,ad_date,ad_title,ad_url,airbag,alarm,arka_bagaj,bike_id,canta_sistemi__uclu_,cbs,cekis_kontrolu,cift_ayak,city,color,gps,isitmali_elcik,karbon,km,koltuk_alti_bagaj,led_sinyal,led_stop,nos,on_cam,on_koruma_bari,price,sahibinden,ses_sistemi,sirt_destegi,xenon_far,yan_koruma_barlari,year
True,04.3.2018,Sorunsuz DUCATI Multistrada 1200,/ilan/vasita-motosiklet-ducati-sorunsuz-ducati-multistrada-1200-534733794/detay,False,False,True,534733794,False,False,False,False,İzmir,Kırmızı,False,False,False,37000.0,False,False,False,False,False,False,43500.0,True,False,False,False,True,2014.0
True,20.2.2018,2015 Ducati Multistrada 1200,/ilan/vasita-motosiklet-ducati-2015-ducati-multistrada-1200-530769277/detay,False,False,True,530769277,False,False,False,True,İstanbul,Kırmızı,False,True,False,8000.0,False,False,False,False,True,False,60000.0,True,False,False,False,True,2015.0
True,20.2.2018,7MOTOSHOP GÜVENCESİYLE,/ilan/vasita-motosiklet-ducati-7motoshop-guvencesiyle-511806669/detay,False,False,True,511806669,False,False,True,False,İstanbul,Kırmızı,False,False,False,22000.0,True,True,True,False,True,True,49000.0,False,False,True,False,True,2013.0
False,16.2.2018,2el temiz masrafsız Multıstrada 1200,/ilan/vasita-motosiklet-ducati-2.el-temiz-masrafsiz-multistrada-1200-529258775/detay,False,False,False,529258775,False,False,False,False,İstanbul,Siyah,False,False,False,19000.0,False,False,False,False,False,False,39000.0,True,False,False,False,False,2011.0
False,26.2.2018,Yıldırım Motor'dan Hatasız ve Extralı DUCATİ Multistrada 1200,/ilan/vasita-motosiklet-ducati-yildirim-motor-dan-hatasiz-ve-extrali-ducati-multistrada-1200-466496488/detay,False,False,False,466496488,False,False,False,False,Sakarya,Kırmızı,False,False,False,22300.0,False,False,False,False,False,False,49000.0,False,False,False,False,False,2014.0
False,22.2.2018,KLAS MOTORDAN DUCATİ MULTİSTRADA 1200,/ilan/vasita-motosiklet-ducati-klas-motordan-ducati-multistrada-1200-522274934/detay,False,False,False,522274934,False,False,False,False,Gaziantep,Kırmızı,False,False,False,42972.0,False,False,False,False,False,False,43900.0,False,False,False,False,False,2011.0
False,09.2.2018,ÖNİZ MOTORS KIŞ FİYATLARI DEVAM EDİYOR MULTISTRADA 1200,/ilan/vasita-motosiklet-ducati-oniz-motors-kis-fiyatlari-devam-ediyor-multistrada-1200-509057920/detay,False,False,False,509057920,False,False,False,False,İstanbul,Kırmızı,False,False,False,6000.0,False,False,False,False,False,False,52500.0,False,False,False,False,False,2014.0
True,10.1.2018,ÇOK TEMİZ DURUMDA,/ilan/vasita-motosiklet-ducati-cok-temiz-durumda-518475145/detay,False,False,False,518475145,False,False,False,True,İstanbul,Kırmızı,False,False,False,43000.0,False,False,False,False,False,False,52000.0,True,False,True,False,True,2014.0
True,08.1.2018,Sahibinden Multistrada 1200 Termignoni,/ilan/vasita-motosiklet-ducati-sahibinden-multistrada-1200-termignoni-517988815/detay,False,False,True,517988815,False,False,True,False,İzmir,Kırmızı,False,False,False,34910.0,True,False,False,False,False,False,39999.0,True,False,False,False,True,2013.0
True,28.9.2017,Servis bakımlı full aksesuarlı kaza boya Yok,/ilan/vasita-motosiklet-ducati-servis-bakimli-full-aksesuarli-kaza-boya-yok-486551815/detay,True,True,True,486551815,True,True,True,True,Erzincan,Kırmızı,False,False,False,35000.0,True,False,True,False,True,True,47500.0,True,False,True,True,True,2013.0
