"abs","ad_date","ad_title","ad_url","airbag","alarm","arka_bagaj","bike_id","canta_sistemi__uclu_","cbs","cekis_kontrolu","cift_ayak","city","color","gps","isitmali_elcik","karbon","km","koltuk_alti_bagaj","led_sinyal","led_stop","nos","on_cam","on_koruma_bari","price","sahibinden","ses_sistemi","sirt_destegi","xenon_far","yan_koruma_barlari","year"
"True","16.11.2017","Acil satılık Honda Cbr 125r","/ilan/vasita-motosiklet-honda-acil-satilik-honda-cbr-125r-502499754/detay","False","True","False",502499754,"False","False","False","False","İstanbul","Beyaz","False","False","False","26000.0","False","False","False","False","False","False","8250.0","True","False","False","False","False","2013.0"
"False","15.11.2017","ilk sahibinden orjinal garaj motosikleti","/ilan/vasita-motosiklet-honda-ilk-sahibinden-orjinal-garaj-motosikleti-498278895/detay","False","False","False",498278895,"False","False","False","False","Bolu","Beyaz","False","False","False","11700.0","False","False","False","False","False","False","11000.0","True","False","False","False","False","2013.0"
"False","15.11.2017","24 binde ter temiz cbr bu firsat kacmaz","/ilan/vasita-motosiklet-honda-24-binde-ter-temiz-cbr-bu-firsat-kacmaz-502108011/detay","False","False","False",502108011,"False","False","False","False","Tekirdağ","Turuncu","False","False","False","24010.0","False","False","False","False","False","False","4500.0","True","False","False","False","False","2007.0"
"False","15.11.2017","2013 ciğerli motordur","/ilan/vasita-motosiklet-honda-2013-cigerli-motordur-502097438/detay","False","False","False",502097438,"False","False","False","False","İstanbul","Beyaz","False","False","False","34000.0","False","False","False","False","False","False","5750.0","True","False","False","False","False","2013.0"
"False","15.11.2017","tertemiz honda bakımlı","/ilan/vasita-motosiklet-honda-tertemiz-honda-bakimli-501843586/detay","False","False","False",501843586,"False","False","False","False","İzmir","Çift Renk","False","False","False","40000.0","False","False","False","False","False","False","7000.0","True","False","False","False","False","2011.0"
"False","16.11.2017","TEMİZ SORUNSUZ HONDA","/ilan/vasita-motosiklet-honda-temiz-sorunsuz-honda-502152471/detay","False","False","False",502152471,"False","False","False","False","İstanbul","Beyaz","False","False","False","30000.0","False","False","False","False","False","False","6750.0","True","False","False","False","False","2011.0"
"False","14.11.2017","2016 Honda CBR 125 R Kazasız-Bakımlı-K­aplamalı-Ekstralı","/ilan/vasita-motosiklet-honda-2016-honda-cbr-125-r-kazasiz-bakimli-kaplamali-ekstrali-501535977/detay","False","False","False",501535977,"False","False","False","False","Ankara","Beyaz","False","False","False","13000.0","False","False","False","False","False","False","10000.0","True","False","False","False","False","2016.0"
"True","15.11.2017","Acil ihtiyaçtan satılık","/ilan/vasita-motosiklet-honda-acil-ihtiyactan-satilik-501902877/detay","False","False","False",501902877,"False","False","False","False","Kırklareli","Siyah","False","False","False","17000.0","True","False","False","False","False","False","8000.0","True","False","False","False","False","2013.0"
"False","15.11.2017","ROSSOlu ROSSI46 CBR 125 R","/ilan/vasita-motosiklet-honda-rossolu-rossi46-cbr-125-r-501916020/detay","False","False","False",501916020,"False","False","False","False","İstanbul","Çift Renk","False","False","False","7434.0","False","False","False","False","False","False","11400.0","True","False","False","False","False","2015.0"
"False","15.11.2017","temiz cbr 125","/ilan/vasita-motosiklet-honda-temiz-cbr-125-501919253/detay","False","False","False",501919253,"False","False","False","False","İstanbul","Beyaz","False","False","False","26000.0","False","False","False","False","False","False","7300.0","True","False","False","False","True","2012.0"
