,abs,ad_date,ad_title,ad_url,airbag,alarm,arka_bagaj,bike_id,canta_sistemi__uclu_,cbs,cekis_kontrolu,cift_ayak,city,color,gps,isitmali_elcik,karbon,km,koltuk_alti_bagaj,led_sinyal,led_stop,nos,on_cam,on_koruma_bari,price,sahibinden,ses_sistemi,sirt_destegi,xenon_far,yan_koruma_barlari,year
0,False,20.11.2017,LACİVERT 2017 MODEL 1650km AKTİF KULLANILIYOR KM ARTABİLİR,/ilan/vasita-motosiklet-honda-lacivert-2017-model-1650km-aktif-kullaniliyor-km-artabilir-503734215/detay,False,False,False,503734215,False,False,False,False,Samsun,Lacivert,False,False,False,1680.0,False,False,False,False,False,False,11900.0,True,False,False,False,False,2017.0
1,False,20.11.2017,Garajda sahibini bekliyor,/ilan/vasita-motosiklet-honda-garajda-sahibini-bekliyor-503906241/detay,False,False,False,503906241,False,False,False,True,Muğla,Sarı,False,False,False,750.0,True,True,True,False,False,False,13000.0,True,False,False,True,False,2017.0
2,False,20.11.2017,Kazasız 2017 çıkışlı 10 aylık motor,/ilan/vasita-motosiklet-honda-kazasiz-2017-cikisli-10-aylik-motor-503862495/detay,False,False,False,503862495,False,False,False,False,Antalya,Beyaz,False,False,False,5150.0,False,False,False,False,False,False,11250.0,True,False,False,False,False,2016.0
3,True,20.11.2017,King Motors GÜVENCESİ İLE 2017 2000 km HATASIZ PCX-150,/ilan/vasita-motosiklet-honda-king-motors-guvencesi-ile-2017-2.000-km-hatasiz-pcx-150-503811446/detay,False,False,False,503811446,False,False,False,False,Antalya,Sarı,False,False,False,2020.0,False,False,False,False,False,False,12000.0,False,False,False,False,False,2017.0
4,False,20.11.2017,Sahibinden 2017,/ilan/vasita-motosiklet-honda-sahibinden-2017-503625843/detay,False,False,False,503625843,False,False,False,False,Aydın,Beyaz,False,False,False,3370.0,False,False,False,False,False,False,12850.0,True,False,False,False,False,2017.0
5,False,20.11.2017,HONDA PCX 150 MODEL YILI 2017,/ilan/vasita-motosiklet-honda-honda-pcx-150-model-yili-2017-503651961/detay,False,False,False,503651961,False,False,False,False,Adana,Beyaz,False,False,False,3300.0,False,False,False,False,False,True,11500.0,True,False,False,False,False,2017.0
6,False,19.11.2017,SAHİBİNDEN SERVİS BAKIMLI 150 lik PCX ÇOK TEMİZ,/ilan/vasita-motosiklet-honda-sahibinden-servis-bakimli-150-lik-pcx-cok-temiz-503534970/detay,False,True,False,503534970,False,False,False,False,İstanbul,Gri,False,False,False,14000.0,False,False,False,False,False,False,11000.0,True,False,False,False,False,2015.0
7,False,19.11.2017,PCX 150 hatasız,/ilan/vasita-motosiklet-honda-pcx-150-hatasiz-503500326/detay,False,False,False,503500326,False,False,False,False,Antalya,Çift Renk,False,False,False,1070.0,False,False,False,False,False,False,12650.0,False,False,False,False,True,2016.0
8,False,19.11.2017,H A T A S I Z,/ilan/vasita-motosiklet-honda-h-a-t-a-s-i-z-503226964/detay,False,False,False,503226964,False,False,False,False,Antalya,Beyaz,False,False,False,20700.0,False,False,False,False,False,False,11000.0,True,False,False,False,False,2015.0
9,False,20.11.2017,1500 Km'de Beyaz Honda Pcx 150,/ilan/vasita-motosiklet-honda-1.500-km-de-beyaz-honda-pcx-150-503939830/detay,False,False,False,503939830,False,False,False,False,İstanbul,Beyaz,False,False,False,1500.0,False,False,False,False,False,False,11700.0,True,False,False,False,False,2017.0
10,True,18.11.2017,az kullanılmış 2014 pxc 8600 kmde,/ilan/vasita-motosiklet-honda-az-kullanilmis-2014-pxc-8600-kmde-503149523/detay,False,False,False,503149523,False,False,False,False,Antalya,Beyaz,False,False,False,8600.0,False,False,False,False,False,False,9600.0,True,False,False,False,False,2014.0
11,False,20.11.2017,Sahibinde 2016 model tertemiz PCX,/ilan/vasita-motosiklet-honda-sahibinde-2016-model-tertemiz-pcx-503932458/detay,False,False,False,503932458,False,False,False,False,İstanbul,Beyaz,False,False,False,10022.0,False,False,False,False,False,False,10700.0,True,False,True,False,False,2016.0
12,False,20.11.2017,SIFIR AYARINDA TEMİZ,/ilan/vasita-motosiklet-honda-sifir-ayarinda-temiz-503917943/detay,False,False,True,503917943,False,False,False,False,Muğla,Beyaz,False,False,False,3000.0,True,True,False,False,False,False,10500.0,True,False,False,True,False,2014.0
13,False,18.11.2017,MOTOTEM'DEN HONDA PCX 150,/ilan/vasita-motosiklet-honda-mototem-den-honda-pcx-150-493579565/detay,False,False,False,493579565,False,True,False,True,Gaziantep,Beyaz,False,False,False,15386.0,True,True,True,False,False,False,9750.0,False,False,False,False,False,2015.0
14,False,20.11.2017,Marmaris Kıvrak Motor’dan Temiz PCX150,/ilan/vasita-motosiklet-honda-marmaris-kivrak-motor-dan-temiz-pcx150-503828277/detay,False,False,False,503828277,False,False,False,False,Muğla,Bordo,False,False,False,6210.0,False,False,False,False,False,False,10000.0,False,False,False,False,False,2015.0
15,False,20.11.2017,"2016 Mart çıkışlı,kapalı garajda muhafaza edilmiş",/ilan/vasita-motosiklet-honda-2016-mart-cikisli%2Ckapali-garajda-muhafaza-edilmis-503573457/detay,False,False,False,503573457,False,False,False,False,Bursa,Kırmızı,False,False,False,1580.0,False,False,False,False,False,True,11500.0,True,False,False,False,True,2015.0
16,False,20.11.2017,HONDA ESENGÜL'den HONDA PCX150,/ilan/vasita-motosiklet-honda-honda-esengul-den-honda-pcx150-503791651/detay,False,False,False,503791651,False,False,False,False,İstanbul,Beyaz,False,False,False,28926.0,False,False,False,False,False,False,8500.0,False,False,False,False,False,2015.0
17,False,17.11.2017,30062017 TRAFİK ÇIKIŞLI 5 AYLIK MOTOR,/ilan/vasita-motosiklet-honda-30.06.2017-trafik-cikisli-5-aylik-motor-502863018/detay,False,False,False,502863018,False,False,False,False,Antalya,Beyaz,False,False,False,3800.0,False,False,False,False,False,False,13000.0,True,False,False,False,False,2017.0
18,False,19.11.2017,Temiz değişen yok,/ilan/vasita-motosiklet-honda-temiz-degisen-yok-503535960/detay,False,False,True,503535960,False,False,False,False,İstanbul,Bordo,False,False,False,17500.0,True,False,False,False,True,True,10500.0,True,False,False,False,True,2016.0
19,False,19.11.2017,Füme Gri Pcx 150 2016,/ilan/vasita-motosiklet-honda-fume-gri-pcx-150-2016-503507599/detay,False,False,False,503507599,False,False,False,False,Antalya,Gri,False,False,False,7000.0,False,False,False,False,False,False,11700.0,True,False,False,False,False,2016.0
20,False,19.11.2017,FUL SERVİS BAKIMLI TEMİZ,/ilan/vasita-motosiklet-honda-ful-servis-bakimli-temiz-503292867/detay,False,False,True,503292867,False,False,False,False,İstanbul,Siyah,False,False,False,9800.0,True,True,True,False,False,False,9850.0,True,False,False,False,False,2015.0
