,abs,ad_date,ad_title,ad_url,airbag,alarm,arka_bagaj,bike_id,canta_sistemi__uclu_,cbs,cekis_kontrolu,cift_ayak,city,color,gps,isitmali_elcik,karbon,km,koltuk_alti_bagaj,led_sinyal,led_stop,nos,on_cam,on_koruma_bari,price,sahibinden,ses_sistemi,sirt_destegi,xenon_far,yan_koruma_barlari,year
0,False,11.11.2017,ORJİNAL MICHELIN LASTİKLİ,/ilan/vasita-motosiklet-honda-orjinal-michelin-lastikli-491322421/detay,False,False,False,491322421,False,False,False,False,İzmir,Kahverengi,False,False,False,6500.0,False,False,False,False,False,False,9400.0,False,False,False,False,False,2015.0
1,False,20.11.2017,MotoGarage Musti güvencesiyle tertemiz sıfır tadında garantili,/ilan/vasita-motosiklet-honda-motogarage-musti-guvencesiyle-tertemiz-sifir-tadinda-garantili-503922536/detay,False,False,False,503922536,False,False,False,False,Hatay,Siyah,False,False,False,2850.0,False,False,False,False,False,False,9100.0,False,False,False,False,False,2016.0
2,False,20.11.2017,İlk Sahibinden temiz zorlanmamış,/ilan/vasita-motosiklet-honda-ilk-sahibinden-temiz-zorlanmamis-503859788/detay,False,False,False,503859788,False,False,False,False,İstanbul,Beyaz,False,False,False,2300.0,False,False,False,False,False,False,10600.0,True,False,False,False,False,2017.0
3,False,20.11.2017,2017 MODEL HONDA PCX SIFIR HATA,/ilan/vasita-motosiklet-honda-2017-model-honda-pcx-sifir-hata-503804077/detay,False,False,False,503804077,False,False,False,False,İstanbul,Beyaz,False,False,False,2950.0,False,False,False,False,False,False,9750.0,True,False,True,False,False,2017.0
4,False,19.11.2017,çok temiz herşeyi orijinal ilk sahibinden,/ilan/vasita-motosiklet-honda-cok-temiz-herseyi-orijinal-ilk-sahibinden-503574111/detay,False,False,False,503574111,False,False,False,True,İzmir,Kırmızı,False,False,False,1150.0,True,False,False,False,True,False,8000.0,True,False,False,False,False,2013.0
5,False,19.11.2017,uygun fiyata PCX 125 extra lı,/ilan/vasita-motosiklet-honda-uygun-fiyata-pcx-125-extra-li-503491793/detay,False,False,False,503491793,False,False,False,False,Antalya,Beyaz,False,False,False,34000.0,False,False,False,False,False,False,6600.0,True,False,False,False,False,2012.0
6,False,18.11.2017,Sahibinden Temiz PCX,/ilan/vasita-motosiklet-honda-sahibinden-temiz-pcx-503276000/detay,False,True,False,503276000,False,False,False,False,İstanbul,Siyah,False,False,False,17000.0,False,False,False,False,False,False,7250.0,True,False,True,False,False,2012.0
7,True,18.11.2017,2017model honda pcx,/ilan/vasita-motosiklet-honda-2017model-honda-pcx-498294583/detay,False,False,True,498294583,False,False,False,False,Manisa,Lacivert,False,False,False,2900.0,False,False,False,False,False,False,10500.0,True,False,False,False,False,2017.0
8,False,18.11.2017,Sahibinden satılık,/ilan/vasita-motosiklet-honda-sahibinden-satilik-503264631/detay,False,False,False,503264631,False,False,False,False,Muğla,Bordo,False,False,False,15000.0,False,False,False,False,False,False,9500.0,True,False,False,False,False,2016.0
9,False,18.11.2017,2012 temiz honda 125 pcx,/ilan/vasita-motosiklet-honda-2012-temiz-honda-125-pcx-503187044/detay,False,False,False,503187044,False,False,False,False,Muğla,Beyaz,False,False,False,25000.0,False,False,False,False,False,False,6750.0,True,False,False,False,False,2012.0
10,True,20.11.2017,Temiz düşük km bakımlı çantalı,/ilan/vasita-motosiklet-honda-temiz-dusuk-km-bakimli-cantali-503872079/detay,False,False,True,503872079,False,False,False,False,Balıkesir,Kırmızı,False,False,False,5300.0,False,False,False,False,False,False,7900.0,True,False,False,False,False,2013.0
11,True,20.11.2017,2012 Model Nokta Hatasız,/ilan/vasita-motosiklet-honda-2012-model-nokta-hatasiz-503848323/detay,False,False,False,503848323,False,False,False,False,Hatay,Gümüş Gri,False,False,False,23000.0,False,False,False,False,False,False,6750.0,True,False,False,True,False,2012.0
12,False,20.11.2017,Tertemiz 6500 km de memurdan PCX,/ilan/vasita-motosiklet-honda-tertemiz-6500-km-de-memurdan-pcx-503827976/detay,False,False,False,503827976,False,False,False,True,İzmir,Bordo,False,False,False,6500.0,False,True,True,False,False,False,8850.0,True,False,False,True,False,2015.0
13,False,18.11.2017,BULUNA BİLİCEK EN TEMİZ PCX!,/ilan/vasita-motosiklet-honda-buluna-bilicek-en-temiz-pcx-503158178/detay,False,False,False,503158178,False,False,False,False,İstanbul,Gri,False,False,False,7000.0,False,False,False,False,False,False,9250.0,True,False,False,False,False,2015.0
14,False,18.11.2017,YATMA DEVRİLME YOK SERVİS BAKIMLI TERTEMİZ MOTOR,/ilan/vasita-motosiklet-honda-yatma-devrilme-yok-servis-bakimli-tertemiz-motor-503158722/detay,False,False,False,503158722,False,False,False,False,Ankara,Beyaz,False,False,False,55000.0,True,False,False,False,False,False,7500.0,True,False,False,False,False,2012.0
15,False,20.11.2017,Boyahatadeğişenyok,/ilan/vasita-motosiklet-honda-boyahatadegisenyok-503135578/detay,False,False,False,503135578,False,True,False,False,Antalya,Kırmızı,False,False,False,48000.0,False,False,False,False,False,False,6250.0,True,False,False,False,False,2013.0
16,False,18.11.2017,ACİLL ACİL Askeri Personelden Tertemiz 2014 PCX,/ilan/vasita-motosiklet-honda-acill-acil-askeri-personelden-tertemiz-2014-pcx-503054346/detay,False,False,False,503054346,False,False,False,False,Adana,Beyaz,False,False,False,20000.0,False,False,False,False,False,False,7100.0,True,False,False,False,False,2014.0
17,False,20.11.2017,Acil honda,/ilan/vasita-motosiklet-honda-acil-honda-503323259/detay,False,False,False,503323259,False,False,False,False,Antalya,Gri,False,False,False,16000.0,False,False,False,False,False,False,7950.0,True,False,False,False,False,2014.0
18,False,19.11.2017,Temiz garaj motoru,/ilan/vasita-motosiklet-honda-temiz-garaj-motoru-503233306/detay,False,False,False,503233306,False,False,False,False,Ankara,Beyaz,False,False,False,26000.0,False,False,False,False,False,False,6500.0,True,False,False,False,False,2011.0
19,False,18.11.2017,Pcx 2017 HATASIZ,/ilan/vasita-motosiklet-honda-pcx-2017-hatasiz-477813910/detay,False,False,False,477813910,False,False,False,False,Manisa,Beyaz,False,False,False,2800.0,False,False,False,False,False,False,10600.0,True,False,False,False,False,2017.0
20,False,17.11.2017,motorun hiç bir sıkıntısı yok,/ilan/vasita-motosiklet-honda-motorun-hic-bir-sikintisi-yok-502556229/detay,False,False,False,502556229,False,False,False,False,İstanbul,Lacivert,False,False,False,2800.0,True,False,False,False,False,False,9500.0,True,False,False,False,False,2016.0
21,False,19.11.2017,HONDA PCX HATASIZ 2013 MODEL,/ilan/vasita-motosiklet-honda-honda-pcx-hatasiz-2013-model-503587281/detay,False,False,False,503587281,False,False,False,True,Antalya,Beyaz,False,False,False,17000.0,True,False,False,False,False,True,8500.0,True,False,False,False,True,2013.0
22,False,19.11.2017,honda pcx start stoplu 2011,/ilan/vasita-motosiklet-honda-honda-pcx-start-stoplu-2011-503559388/detay,False,False,True,503559388,False,False,False,False,Antalya,Gri,False,False,False,44263.0,True,False,False,False,True,False,6500.0,True,False,False,False,False,2011.0
