,abs,ad_date,ad_title,ad_url,airbag,alarm,arka_bagaj,bike_id,canta_sistemi__uclu_,cbs,cekis_kontrolu,cift_ayak,city,color,gps,isitmali_elcik,karbon,km,koltuk_alti_bagaj,led_sinyal,led_stop,nos,on_cam,on_koruma_bari,price,sahibinden,ses_sistemi,sirt_destegi,xenon_far,yan_koruma_barlari,year
0,False,20.11.2017,MOTOROOM KAHRAMANLAR ÇİZİKSİZ SİFİR AYARİNDA SPYCE ALFA,/ilan/vasita-motosiklet-honda-motoroom-kahramanlar-ciziksiz-sifir-ayarinda-spyce-alfa-494275619/detay,False,False,False,494275619,False,False,False,False,İzmir,Çift Renk,False,False,False,3200.0,False,False,False,False,False,False,7500.0,False,False,False,False,False,2017.0
1,False,18.11.2017,MOTOBAYDAN KREDİ KARTINA 9 TAKSİT,/ilan/vasita-motosiklet-honda-motobay.dan-kredi-kartina-9-taksit-503217239/detay,False,False,True,503217239,False,False,False,True,İstanbul,Beyaz,False,False,False,7900.0,True,False,False,False,False,True,5950.0,False,False,False,False,True,2015.0
2,False,18.11.2017,Satılık 2015 alpha,/ilan/vasita-motosiklet-honda-satilik-2015-alpha-503198063/detay,False,False,False,503198063,False,False,False,False,İzmir,Beyaz,False,False,False,8400.0,False,False,False,False,False,False,6900.0,False,False,False,False,False,2015.0
3,False,20.11.2017,TERTEMİZ 110 ALFA START STOP LU MODELDİR,/ilan/vasita-motosiklet-honda-tertemiz-110-alfa-start-stop-lu-modeldir-503803316/detay,False,False,False,503803316,False,False,False,True,Adana,Beyaz,False,False,False,9300.0,True,False,False,False,False,False,6400.0,True,False,False,False,False,2015.0
4,False,20.11.2017,ERENLERDEN SPACY ALFA,/ilan/vasita-motosiklet-honda-erenlerden-spacy-alfa-491969492/detay,False,False,False,491969492,False,False,False,False,Antalya,Mor,False,False,False,18000.0,False,False,False,False,False,False,6500.0,False,False,False,False,False,2015.0
5,False,17.11.2017,Sahibinden HATASIZ 2016 HONDA SPACY ALFA,/ilan/vasita-motosiklet-honda-sahibinden-hatasiz-2016-honda-spacy-alfa-502915616/detay,False,False,False,502915616,False,False,False,True,İzmir,Beyaz,False,False,False,5400.0,True,False,False,False,False,True,7800.0,True,False,False,False,True,2016.0
6,False,19.11.2017,Nakit İhtiyaçtan Acil,/ilan/vasita-motosiklet-honda-nakit-ihtiyactan-acil-503564597/detay,False,False,False,503564597,False,False,False,False,İzmir,Beyaz,False,False,False,1700.0,False,False,False,False,False,False,7900.0,True,False,False,False,False,2017.0
7,False,17.11.2017,Honda Spacy 110 Alfa Acil Satılık,/ilan/vasita-motosiklet-honda-honda-spacy-110-alfa-acil-satilik-502885263/detay,False,False,True,502885263,False,False,False,True,İstanbul,Siyah,False,False,False,27816.0,True,False,False,False,False,True,6100.0,True,False,False,False,True,2016.0
8,False,19.11.2017,orjinal temiz motor,/ilan/vasita-motosiklet-honda-orjinal-temiz-motor-503510109/detay,False,False,False,503510109,False,False,False,False,Gaziantep,Beyaz,False,False,False,9000.0,False,False,False,False,False,False,7200.0,True,False,False,False,False,2016.0
9,False,17.11.2017,HONDA ORDU AŞ MANİSA SPACY ALPHA 2017 2 YIL GARANTİ,/ilan/vasita-motosiklet-honda-honda-ordu-a.s-manisa-spacy-alpha-2017-2-yil-garanti-479586286/detay,False,False,False,479586286,False,False,False,False,Manisa,Beyaz,False,False,False,0.0,False,False,False,False,False,False,8550.0,False,False,False,False,False,2017.0
