,abs,ad_date,ad_title,ad_url,airbag,alarm,arka_bagaj,bike_id,canta_sistemi__uclu_,cbs,cekis_kontrolu,cift_ayak,city,color,gps,isitmali_elcik,karbon,km,koltuk_alti_bagaj,led_sinyal,led_stop,nos,on_cam,on_koruma_bari,price,sahibinden,ses_sistemi,sirt_destegi,xenon_far,yan_koruma_barlari,year
0,False,20.11.2017,YILDIRIM MOTOR'dan 2EL DE 1KALİTE SAPACY 110,/ilan/vasita-motosiklet-honda-yildirim-motor-dan-2.el-de-1.kalite-sapacy-110-448577975/detay,False,False,False,448577975,False,False,False,False,İstanbul,Lacivert,False,False,False,45000.0,False,False,False,False,False,True,4600.0,False,False,False,False,True,2014.0
1,False,15.11.2017,2013 HONDA Spacy Çeşitleri KREDİ KARTINA 9-12 taksit ile,/ilan/vasita-motosiklet-honda-2013-honda-spacy-cesitleri-kredi-kartina-9-12-taksit-ile-502187727/detay,False,False,False,502187727,False,False,False,False,İstanbul,Gri,False,False,False,21820.0,False,False,False,False,False,False,4640.0,False,False,False,False,False,2013.0
2,False,15.11.2017,2014 HONDA SPACY 9-12 TAKSİT İLE,/ilan/vasita-motosiklet-honda-2014-honda-spacy-9-12-taksit-ile-502183873/detay,False,False,False,502183873,False,False,False,False,İstanbul,Beyaz,False,False,False,21005.0,False,False,False,False,False,False,4740.0,False,False,False,False,False,2014.0
3,False,20.10.2017,Çözüm Ortağınız TEKTEKER Autopia'da,/ilan/vasita-motosiklet-honda-cozum-ortaginiz-tekteker-autopia-da-481477847/detay,False,False,False,481477847,False,False,False,False,İstanbul,Mavi,False,False,False,45000.0,False,False,False,False,False,False,4500.0,False,False,False,False,False,2013.0
4,False,20.11.2017,YILDIRIM MOTOR' kalite ve güvenin adresi,/ilan/vasita-motosiklet-honda-yildirim-motor-kalite-ve-guvenin-adresi-464141069/detay,False,False,False,464141069,False,False,False,True,İstanbul,Beyaz,False,False,False,44350.0,True,False,False,False,False,True,4300.0,False,False,False,False,True,2013.0
5,False,20.11.2017,ORJİNAL SAPACY110 SIFIR MUAYANELİ,/ilan/vasita-motosiklet-honda-orjinal-sapacy110-sifir-muayaneli-464301124/detay,False,False,False,464301124,False,False,False,False,Antalya,Beyaz,False,False,False,35000.0,False,False,False,False,False,False,4750.0,False,False,False,False,False,2011.0
6,False,19.11.2017,2EL SPAYC PAZARI ROTA MOTOSİKLET,/ilan/vasita-motosiklet-honda-2.el-spayc-pazari-rota-motosiklet-466328488/detay,False,False,False,466328488,False,False,False,False,İstanbul,Kırmızı,False,False,False,29500.0,False,False,False,False,False,False,4500.0,False,False,False,False,False,2013.0
7,False,20.11.2017,HONDA SPACY,/ilan/vasita-motosiklet-honda-honda-spacy-503850435/detay,False,False,False,503850435,False,False,False,False,İstanbul,Siyah,False,False,False,50.0,False,False,False,False,False,False,2500.0,True,False,False,False,False,2012.0
8,False,20.11.2017,Honda Spacy 110 Bakimli 15tl Ye 110 Km,/ilan/vasita-motosiklet-honda-honda-spacy-110-bakimli-15tl-ye-110-km-503236527/detay,False,False,True,503236527,False,False,False,True,İstanbul,Sarı,False,False,False,43000.0,True,False,False,False,False,True,4250.0,True,False,False,False,True,2014.0
9,True,20.11.2017,ihtiyaç fazlası olan motosiklet,/ilan/vasita-motosiklet-honda-ihtiyac-fazlasi-olan-motosiklet-503579928/detay,True,True,True,503579928,False,True,True,False,İstanbul,Siyah,False,False,False,1200.0,False,False,False,False,False,True,3100.0,True,False,True,True,True,2012.0
