,abs,ad_date,ad_title,ad_url,airbag,alarm,arka_bagaj,bike_id,canta_sistemi__uclu_,cbs,cekis_kontrolu,cift_ayak,city,color,gps,isitmali_elcik,karbon,km,koltuk_alti_bagaj,led_sinyal,led_stop,nos,on_cam,on_koruma_bari,price,sahibinden,ses_sistemi,sirt_destegi,xenon_far,yan_koruma_barlari,year
0,True,13.11.2017,Kusursuz ilk günki gibi,/ilan/vasita-motosiklet-ktm-kusursuz-ilk-gunki-gibi-501406582/detay,False,False,False,501406582,False,False,False,False,İstanbul,Beyaz,False,False,False,17350.0,False,True,True,False,False,False,12750.0,True,False,False,True,False,2013.0
1,True,07.11.2017,KTM Duke 200 ABS,/ilan/vasita-motosiklet-ktm-ktm-duke-200-abs-499829556/detay,False,False,False,499829556,False,False,False,False,İstanbul,Beyaz,False,False,False,18140.0,False,False,False,False,False,False,11500.0,True,False,False,False,True,2013.0
2,False,10.11.2017,MOTORATEL'DEN KTM DUKE200 ABS,/ilan/vasita-motosiklet-ktm-motoratel-den-ktm-duke200-abs-485762885/detay,False,False,False,485762885,False,False,False,False,İzmir,Beyaz,False,False,False,28000.0,False,False,False,False,False,False,13000.0,False,False,False,False,False,2014.0
3,False,31.10.2017,satilik duke 200 abs,/ilan/vasita-motosiklet-ktm-satilik-duke-200-abs-497592954/detay,False,False,False,497592954,False,False,False,False,İstanbul,Beyaz,False,False,False,70000.0,False,False,False,False,False,False,9000.0,True,False,False,False,False,2013.0
4,True,29.10.2017,Sağlıkçıdan temiziz motor acil,/ilan/vasita-motosiklet-ktm-saglikcidan-temiziz-motor-acil-496939633/detay,False,False,False,496939633,False,False,False,False,İstanbul,Beyaz,False,False,False,25000.0,False,False,False,False,False,False,10000.0,True,False,False,False,False,2013.0
5,False,30.10.2017,2013 MODEL DUKE 200 ABS KAZASIZ HATASIZ,/ilan/vasita-motosiklet-ktm-2013-model-duke-200-abs-kazasiz-hatasiz-497178841/detay,False,False,False,497178841,False,False,False,False,İstanbul,Beyaz,False,False,False,30000.0,False,False,False,False,False,False,11500.0,True,False,False,False,False,2013.0
6,True,25.10.2017,Temiz duke 200 abs,/ilan/vasita-motosiklet-ktm-temiz-duke-200-abs-495580096/detay,False,False,False,495580096,False,False,False,False,İstanbul,Beyaz,False,False,False,28000.0,False,False,False,False,False,False,11000.0,True,False,False,False,False,2013.0
7,True,25.10.2017,24 kasımdan sonra banka ipotek koyacak acil !!!,/ilan/vasita-motosiklet-ktm-24-kasimdan-sonra-banka-ipotek-koyacak-acil-495482274/detay,False,True,False,495482274,False,False,False,False,İstanbul,Beyaz,False,False,False,22000.0,False,True,True,False,True,True,11600.0,True,False,False,True,True,2013.0
8,True,30.10.2017,ABS Lİ DUKE 200 TEMİZ,/ilan/vasita-motosiklet-ktm-abs-li-duke-200-temiz-486706546/detay,False,False,True,486706546,True,False,False,False,İstanbul,Turuncu,False,False,False,36000.0,False,False,False,False,False,False,11250.0,False,False,True,False,False,2013.0
9,True,23.10.2017,acil satılık temiz duke 200 abs,/ilan/vasita-motosiklet-ktm-acil-satilik-temiz-duke-200-abs-474971945/detay,False,False,True,474971945,False,False,False,False,Kayseri,Çift Renk,False,False,False,20000.0,True,True,True,False,True,True,11900.0,True,False,False,False,True,2013.0
