"abs","ad_date","ad_title","ad_url","airbag","alarm","arka_bagaj","bike_id","canta_sistemi__uclu_","cbs","cekis_kontrolu","cift_ayak","city","color","gps","isitmali_elcik","karbon","km","koltuk_alti_bagaj","led_sinyal","led_stop","nos","on_cam","on_koruma_bari","price","sahibinden","ses_sistemi","sirt_destegi","xenon_far","yan_koruma_barlari","year"
"False",11/09/2017,"2017 trafiğe çıkışlı","/ilan/vasita-motosiklet-ktm-2017-trafige-cikisli-500301986/detay","False","False","False",500301986,"False","False","False","False","İstanbul","Turuncu","False","False","False","2000.0","False","False","False","False","False","False","11750.0","True","False","False","False","False","2016.0"
"False",11/10/2017,"Temiz zorlanmamış","/ilan/vasita-motosiklet-ktm-temiz-zorlanmamis-500617434/detay","False","False","False",500617434,"False","False","False","False","İstanbul","Turuncu","False","False","False","24000.0","False","False","False","False","False","False","9350.0","True","False","False","False","False","2013.0"
"False",11/08/2017,"2015 MODEL KTM DUKE 200","/ilan/vasita-motosiklet-ktm-2015-model-ktm-duke-200-499971800/detay","False","False","False",499971800,"False","False","False","False","Antalya","Turuncu","False","False","False","11230.0","False","False","False","False","False","False","12750.0","True","False","False","False","False","2015.0"
"False",11/09/2017,"ERDEM MOTOR GÜVENCESİYLE KTM 200","/ilan/vasita-motosiklet-ktm-erdem-motor-guvencesiyle-ktm-200-500333036/detay","False","False","False",500333036,"False","False","False","False","Antalya","Çift Renk","False","False","False","3150.0","False","False","False","False","False","False","12000.0","False","False","False","False","False","2016.0"
"False",11/06/2017,"Bu tasarım tr de tek","/ilan/vasita-motosiklet-ktm-bu-tasarim-tr-de-tek-499177001/detay","False","False","False",499177001,"False","False","False","False","İstanbul","Turuncu","False","False","False","36000.0","False","False","False","False","False","False","10500.0","True","False","False","False","False","2013.0"
"False",11/06/2017,"1700 km-2017 çıkışlı- Tertemiz Duke ! Acilllll !!","/ilan/vasita-motosiklet-ktm-1700-km-2017-cikisli-tertemiz-duke-acilllll-489499397/detay","False","False","False",489499397,"False","False","False","False","Ankara","Beyaz","False","False","False","1700.0","False","False","False","False","False","False","11900.0","True","False","False","False","False","2016.0"
"False",11/06/2017,"ktm 200 duke","/ilan/vasita-motosiklet-ktm-ktm-200-duke-499219484/detay","False","False","False",499219484,"False","False","False","False","İstanbul","Sarı","False","False","False","26000.0","False","False","False","False","False","True","8500.0","True","False","False","False","False","2012.0"
"False",11/06/2017,"Beyaz Duke 200","/ilan/vasita-motosiklet-ktm-beyaz-duke-200-456129604/detay","False","True","False",456129604,"False","False","False","False","İstanbul","Beyaz","False","False","False","12200.0","True","True","True","False","False","False","11000.0","True","False","False","False","False","2014.0"
"False",11/08/2017,"KTM DUKE 200 KAMPANYA!! KAÇIRILMAYACAK FIRSAT !","/ilan/vasita-motosiklet-ktm-ktm-duke-200-kampanya-kacirilmayacak-firsat-500045648/detay","False","False","False",500045648,"False","False","False","False","Muğla","Beyaz","False","False","False","0.0","False","False","False","False","False","False","13500.0","False","False","False","False","False","2016.0"
"False",11/03/2017,"KTM DUKE 200 - 2012 MODEL - 45500 KM","/ilan/vasita-motosiklet-ktm-ktm-duke-200-2012-model-45.500-km-498393261/detay","False","False","False",498393261,"False","False","False","False","Antalya","Turuncu","False","False","False","45500.0","False","False","False","False","False","False","12000.0","True","False","False","False","False","2012.0"
"False",11/04/2017,"ECZACIDAN GARANTİLİ, 2017 ÇIKIŞLI","/ilan/vasita-motosiklet-ktm-eczacidan-garantili-2017-cikisli-498601447/detay","False","True","False",498601447,"False","False","False","False","İstanbul","Turuncu","False","False","False","6000.0","False","False","False","False","False","False","13750.0","True","False","False","False","False","2016.0"
"False",11/03/2017,"2014 temiz duke","/ilan/vasita-motosiklet-ktm-2014-temiz-duke-498622547/detay","False","False","False",498622547,"False","False","False","False","İstanbul","Beyaz","False","False","False","20100.0","False","False","False","False","False","False","9990.0","True","False","False","False","False","2014.0"
"False",11/01/2017,"extralı duke kaçmaz","/ilan/vasita-motosiklet-ktm-extrali-duke-kacmaz-497823157/detay","False","False","True",497823157,"False","False","False","True","Denizli","Çift Renk","False","False","False","6250.0","False","False","False","False","False","False","12500.0","True","False","False","False","False","2016.0"
"False",10/28/2017,"Sahibinden Temiz Çılgın KTM duke200","/ilan/vasita-motosiklet-ktm-sahibinden-temiz-cilgin-ktm-duke200-496699389/detay","False","False","False",496699389,"False","False","False","False","Denizli","Beyaz","False","False","False","24000.0","True","True","True","False","False","True","12000.0","True","False","False","False","True","2015.0"
"False",10/31/2017,"Sahibinden 2017 Mayıs trafiğe çıkışlı","/ilan/vasita-motosiklet-ktm-sahibinden-2017-mayis-trafige-cikisli-497616049/detay","False","False","False",497616049,"False","False","False","False","Diyarbakır","Beyaz","False","False","False","5000.0","False","True","True","False","False","False","12750.0","True","False","False","False","False","2016.0"
"False",10/28/2017,"KTM DUKE 200 (açıklamayı okuyun)","/ilan/vasita-motosiklet-ktm-ktm-duke-200-aciklamayi-okuyun-496610081/detay","False","False","False",496610081,"False","False","False","False","İzmir","Beyaz","False","False","False","3500.0","False","False","False","False","False","False","14000.0","True","False","False","False","True","2016.0"
"False",10/24/2017,"TORK'A HAYRAN OLACAKSIN","/ilan/vasita-motosiklet-ktm-tork-a-hayran-olacaksin-495151389/detay","False","False","False",495151389,"False","False","False","False","İstanbul","Siyah","False","False","False","23500.0","True","False","False","False","False","True","10750.0","True","False","False","False","True","2014.0"
"False",10/24/2017,"Daha temizi bayii de","/ilan/vasita-motosiklet-ktm-daha-temizi-bayii-de-495169938/detay","False","False","False",495169938,"False","False","False","False","İzmir","Beyaz","False","False","False","4000.0","False","False","False","False","False","False","12250.0","True","False","False","False","False","2016.0"
"False",10/26/2017,"duke 200 Ankara Çankaya","/ilan/vasita-motosiklet-ktm-duke-200-ankara-cankaya-495955802/detay","False","False","False",495955802,"False","False","False","False","Ankara","Turuncu","False","False","False","4000.0","False","False","False","False","False","False","10000.0","True","False","False","False","True","2016.0"
"False",10/28/2017,"ekstralı KTM Duke 200","/ilan/vasita-motosiklet-ktm-ekstrali-ktm-duke-200-496260978/detay","False","False","False",496260978,"False","False","False","False","İstanbul","Turuncu","False","False","False","28500.0","False","False","False","False","False","False","9000.0","True","False","False","False","False","2012.0"
"False",10/25/2017,"TEMİZ,ZORLANMAMIŞ KTM DUKE 200,BAKIMLARI EKSİKSİZ YAPILMIŞTIR","/ilan/vasita-motosiklet-ktm-temiz%2Czorlanmamis-ktm-duke-200%2Cbakimlari-eksiksiz-yapilmistir-495542234/detay","False","False","False",495542234,"False","False","False","False","Tokat","Turuncu","False","False","False","22000.0","False","False","False","False","False","False","10000.0","True","False","False","False","False","2014.0"
"False",10/25/2017,"TERTEMİZ DUKE 200","/ilan/vasita-motosiklet-ktm-tertemiz-duke-200-495582032/detay","False","False","False",495582032,"False","False","False","False","Isparta","Turuncu","False","False","False","9000.0","False","False","False","False","False","False","11000.0","True","False","False","False","False","2015.0"
"False",10/26/2017,"TEMİZ HASARSIZ KAPALI GARAJ MUHAFAZALI","/ilan/vasita-motosiklet-ktm-temiz-hasarsiz-kapali-garaj-muhafazali-495832465/detay","False","False","False",495832465,"False","False","False","False","İstanbul","Turuncu","False","False","False","5000.0","False","False","False","False","False","False","14500.0","True","False","False","False","False","2014.0"
"False",10/24/2017,"ACİL SATILIK DUKE 200","/ilan/vasita-motosiklet-ktm-acil-satilik-duke-200-494974687/detay","False","False","False",494974687,"False","False","False","False","İzmir","Turuncu","False","False","False","26000.0","False","False","False","False","False","False","9000.0","True","False","False","False","False","2014.0"
"False",10/24/2017,"Tertemiz ekstralı motorsiklet","/ilan/vasita-motosiklet-ktm-tertemiz-ekstrali-motorsiklet-494821933/detay","False","False","False",494821933,"False","False","False","False","İstanbul","Turuncu","False","False","False","8500.0","False","False","False","False","False","False","10700.0","True","False","False","False","False","2015.0"
"False",10/21/2017,"Son fiyat bakmadan geçme!!!!","/ilan/vasita-motosiklet-ktm-son-fiyat-bakmadan-gecme-494281693/detay","False","False","False",494281693,"False","False","False","False","Muğla","Turuncu","False","False","False","2050.0","False","False","False","False","False","False","11750.0","True","False","False","False","False","2017.0"
"False",10/23/2017,"63000 de temiz aksesuarlı","/ilan/vasita-motosiklet-ktm-63.000-de-temiz-aksesuarli-494775529/detay","False","True","True",494775529,"False","False","False","False","İstanbul","Turuncu","False","False","False","63000.0","False","False","False","False","True","False","8999.0","True","False","False","False","True","2014.0"
