,abs,ad_date,ad_title,ad_url,airbag,alarm,arka_bagaj,bike_id,canta_sistemi__uclu_,cbs,cekis_kontrolu,cift_ayak,city,color,gps,isitmali_elcik,karbon,km,koltuk_alti_bagaj,led_sinyal,led_stop,nos,on_cam,on_koruma_bari,price,sahibinden,ses_sistemi,sirt_destegi,xenon_far,yan_koruma_barlari,year
0,False,16.11.2017,suzuki inazuma bakımlı aksesuarlı,/ilan/vasita-motosiklet-suzuki-suzuki-inazuma-bakimli-aksesuarli-499364002/detay,False,False,True,499364002,False,False,False,True,İzmir,Siyah,False,False,False,37000.0,False,False,False,False,True,False,14500.0,True,False,False,False,True,2013.0
1,False,16.11.2017,ÖĞRETMENDEN TEMİZ,/ilan/vasita-motosiklet-suzuki-ogretmenden-temiz-502248103/detay,False,False,True,502248103,False,False,False,True,Antalya,Beyaz,False,False,False,16200.0,False,False,False,False,True,False,13100.0,True,False,False,False,True,2014.0
2,True,15.11.2017,İkinci sahibinden tertemiz,/ilan/vasita-motosiklet-suzuki-ikinci-sahibinden-tertemiz-502209678/detay,False,False,False,502209678,False,False,False,False,İstanbul,Siyah,False,False,False,16000.0,False,False,False,False,False,False,10850.0,True,False,False,False,False,2013.0
3,False,13.11.2017,TEMİZ 2014 MODEL 6200 KM,/ilan/vasita-motosiklet-suzuki-temiz-2014-model-6200-km-501223513/detay,False,False,True,501223513,False,False,False,True,Denizli,Mavi,False,False,False,6200.0,False,False,False,False,True,False,14200.0,True,False,False,False,False,2014.0
4,False,14.11.2017,POLAT MOTOR'DAN SUZUKI INAZUMA F,/ilan/vasita-motosiklet-suzuki-polat-motor-dan-suzuki-inazuma-f-308772536/detay,False,False,False,308772536,False,False,False,False,Tekirdağ,Beyaz,False,False,False,0.0,False,False,False,False,True,False,18950.0,False,False,False,False,False,2016.0
5,False,14.11.2017,ŞEHİRDEKİ FIRTINA,/ilan/vasita-motosiklet-suzuki-sehirdeki-firtina-414142472/detay,False,False,False,414142472,False,False,False,False,Trabzon,Çift Renk,False,False,False,0.0,False,False,False,False,False,False,16700.0,False,False,False,False,False,2016.0
6,False,14.11.2017,İLK SAHİBİNDEN 2016 Çıkış SUZUKİ İNAZUMA GW 250 EKSTRALI KAZASIZ,/ilan/vasita-motosiklet-suzuki-ilk-sahibinden-2016-cikis-suzuki-inazuma-gw-250-ekstrali-kazasiz-501545651/detay,False,False,True,501545651,True,False,False,True,İzmir,Çift Renk,False,False,False,8760.0,True,False,False,False,False,False,17000.0,True,False,False,False,False,2015.0
7,False,11.11.2017,Acil Temiz Bakımlı İnazuma,/ilan/vasita-motosiklet-suzuki-acil-temiz-bakimli-inazuma-500880752/detay,False,False,True,500880752,False,False,False,False,İzmir,Beyaz,False,False,False,21100.0,False,False,False,False,True,True,14300.0,True,False,False,False,True,2014.0
8,False,13.11.2017,MyMG => SUZUKI INAZUMA 250,/ilan/vasita-motosiklet-suzuki-mymg-suzuki-inazuma-250-501390374/detay,False,False,True,501390374,False,False,False,False,Ankara,Mavi,False,False,False,25500.0,False,False,False,False,True,True,13450.0,False,False,False,False,False,2014.0
9,False,13.11.2017,TERTEMİZ SUZUKİ İNAZUMA 250 HONDA ATABERK'TE!!,/ilan/vasita-motosiklet-suzuki-tertemiz-suzuki-inazuma-250-honda-ataberk-te-446349315/detay,False,False,True,446349315,False,False,False,False,Antalya,Siyah,False,False,False,34500.0,False,False,False,False,False,False,12500.0,False,False,True,False,False,2013.0
10,False,13.11.2017,Bayan kuaföründen,/ilan/vasita-motosiklet-suzuki-bayan-kuaforunden-501197536/detay,False,False,False,501197536,False,False,False,False,Hatay,Siyah,False,False,False,30000.0,False,False,False,False,False,False,12500.0,True,False,False,False,False,2013.0
