,abs,ad_date,ad_title,ad_url,airbag,alarm,arka_bagaj,bike_id,canta_sistemi__uclu_,cbs,cekis_kontrolu,cift_ayak,city,color,gps,isitmali_elcik,karbon,km,koltuk_alti_bagaj,led_sinyal,led_stop,nos,on_cam,on_koruma_bari,price,sahibinden,ses_sistemi,sirt_destegi,xenon_far,yan_koruma_barlari,year
0,True,20.11.2017,2017 NAKED ABS MT-07 MAT SİYAH,/ilan/vasita-motosiklet-yamaha-2017-naked-abs-mt-07-mat-siyah-503824384/detay,False,False,False,503824384,False,False,False,False,Eskişehir,Siyah,False,False,False,4300.0,False,False,False,False,False,False,33000.0,True,False,False,False,False,2017.0
1,True,19.11.2017,MT-07 ABS - Sıfır Lastikle - Hatasız - Servis bakımlı,/ilan/vasita-motosiklet-yamaha-mt-07-abs-sifir-lastikle-hatasiz-servis-bakimli-503539689/detay,False,False,False,503539689,False,False,False,False,İstanbul,Mavi,False,False,False,18000.0,True,False,True,False,False,True,28000.0,True,False,False,False,True,2014.0
2,True,18.11.2017,Sahibinden az kullanılmış MT07 kırmızı,/ilan/vasita-motosiklet-yamaha-sahibinden-az-kullanilmis-mt07-kirmizi-503287430/detay,False,False,True,503287430,False,False,False,False,Eskişehir,Kırmızı,False,False,False,11900.0,True,False,True,False,True,False,28500.0,True,False,False,False,False,2014.0
3,True,20.11.2017,cam gibi mt 07 ABS,/ilan/vasita-motosiklet-yamaha-cam-gibi-mt-07-abs-503938541/detay,False,True,False,503938541,False,False,False,False,Mersin,Mavi,False,False,False,2800.0,False,False,False,False,False,False,35500.0,True,False,False,False,False,2017.0
4,True,20.11.2017,ŞOK 2017 MODEL DAHA SIFIR YAMAHA MT 07 ABS BLUE OTOMOBİL TAKASLI,/ilan/vasita-motosiklet-yamaha-sok-2017-model-daha-sifir-yamaha-mt-07-abs-blue-otomobil-takasli-503932323/detay,False,False,False,503932323,False,False,False,False,Adana,Mavi,False,False,True,90.0,True,False,True,False,False,False,35500.0,False,False,False,False,False,2017.0
5,True,18.11.2017,DEEP ARMOR MT-07 ABS EKSTRALI,/ilan/vasita-motosiklet-yamaha-deep-armor-mt-07-abs-ekstrali-503193841/detay,False,False,False,503193841,True,False,False,False,İstanbul,Mor,False,False,False,12774.0,False,False,False,False,True,False,26250.0,True,False,False,False,False,2015.0
6,True,20.11.2017,HATASIZ MERMİ,/ilan/vasita-motosiklet-yamaha-hatasiz-mermi-503638612/detay,False,True,False,503638612,False,False,False,False,İstanbul,Kırmızı,False,False,False,26000.0,False,False,False,False,False,False,23000.0,True,False,False,False,True,2014.0
7,True,18.11.2017,Kazasız sıfır gibi extralı mt07 (10139bitcoine satılıktır) ÇOK,/ilan/vasita-motosiklet-yamaha-kazasiz-sifir-gibi-extrali-mt07-1.0139bitcoine-satiliktir-cok-502994288/detay,False,False,False,502994288,False,False,False,False,Ankara,Kırmızı,False,False,False,7000.0,False,False,False,False,False,True,28000.0,True,False,False,False,True,2016.0
8,True,20.11.2017,EKSRALI 13868 KM’de 2015 ABS SARI RENK HATASIZ,/ilan/vasita-motosiklet-yamaha-eksrali-13.868-km-de-2015-abs-sari-renk-hatasiz-503628128/detay,False,False,False,503628128,False,False,False,False,Ankara,Sarı,False,False,False,13868.0,False,False,False,False,False,False,27900.0,True,False,False,False,False,2015.0
9,False,17.11.2017,Kapali garaj motoru,/ilan/vasita-motosiklet-yamaha-kapali-garaj-motoru-502920803/detay,False,False,False,502920803,False,False,False,False,Antalya,Sarı,False,False,False,8900.0,False,False,False,False,False,False,35500.0,True,False,False,False,False,2016.0
10,True,19.11.2017,"ÜST DÜZEY EKSTRALI,GARA­NTİLİ,SERVİS BAKIMLI,MT 07 RACE BLUE ABS",/ilan/vasita-motosiklet-yamaha-ust-duzey-ekstrali%2Cgarantili%2Cservis-bakimli%2Cmt-07-race-blue-abs-503543041/detay,False,True,False,503543041,True,False,False,False,Aydın,Çift Renk,False,False,True,7300.0,True,True,False,False,True,True,33950.0,True,False,False,True,True,2016.0
11,True,19.11.2017,SIFIR AYARINDA--E­SNAFTAN--BU FIRSAT KAÇMAZ,/ilan/vasita-motosiklet-yamaha-sifir-ayarinda-esnaftan-bu-firsat-kacmaz-503548116/detay,False,False,False,503548116,False,False,False,False,Adana,Çift Renk,False,False,False,5950.0,False,False,False,False,True,False,29000.0,True,False,False,False,False,2015.0
12,True,17.11.2017,2016 MT-07 Mat Gri 10000 km tertemiz,/ilan/vasita-motosiklet-yamaha-2016-mt-07-mat-gri-10.000-km-tertemiz-502854693/detay,False,False,False,502854693,False,False,False,False,Ankara,Gri,False,False,False,10300.0,False,False,False,False,True,False,27300.0,True,False,False,False,True,2016.0
13,True,19.11.2017,2016 model 1800 km de,/ilan/vasita-motosiklet-yamaha-2016-model-1800-km-de-503514737/detay,False,False,False,503514737,False,False,False,False,Antalya,Bordo,False,False,False,1800.0,False,False,False,False,False,False,33000.0,True,False,False,False,True,2016.0
14,True,17.11.2017,Tertemiz Cizik bile yok,/ilan/vasita-motosiklet-yamaha-tertemiz-cizik-bile-yok-502789572/detay,False,False,False,502789572,False,False,False,False,Gaziantep,Lacivert,False,False,False,850.0,False,False,False,False,False,True,35500.0,True,False,False,False,True,2017.0
15,True,19.11.2017,garajdan cikmamis orjinal mt7 garantili,/ilan/vasita-motosiklet-yamaha-garajdan-cikmamis-orjinal-mt7-garantili-503312852/detay,False,False,False,503312852,True,False,False,False,İstanbul,Çift Renk,True,False,False,5500.0,False,False,False,False,False,False,26250.0,True,False,True,False,False,2014.0
16,True,16.11.2017,japon 6 patlar,/ilan/vasita-motosiklet-yamaha-japon-6-patlar-502579125/detay,False,False,False,502579125,False,False,False,False,Giresun,Sarı,False,False,False,15000.0,False,True,False,False,True,False,26950.0,True,False,False,False,True,2015.0
17,True,17.11.2017,2017 SIFIR TADINDA SADECE 3 BİN KM DE HATASIZ BOYASIZ,/ilan/vasita-motosiklet-yamaha-2017-sifir-tadinda-sadece-3-bin-km-de-hatasiz-boyasiz-502924531/detay,False,False,False,502924531,False,False,True,False,İzmir,Beyaz,False,False,False,3000.0,False,False,False,False,False,True,34900.0,False,False,False,False,True,2017.0
18,True,16.11.2017,"15000'de Hatasız, Servis Bakımlı 2015",/ilan/vasita-motosiklet-yamaha-15.000-de-hatasiz-servis-bakimli-2015-502487106/detay,False,False,False,502487106,False,False,False,False,İstanbul,Sarı,False,False,False,15153.0,False,False,False,False,True,False,26500.0,True,False,False,False,False,2015.0
