,abs,ad_date,ad_title,ad_url,airbag,alarm,arka_bagaj,bike_id,canta_sistemi__uclu_,cbs,cekis_kontrolu,cift_ayak,city,color,gps,isitmali_elcik,karbon,km,koltuk_alti_bagaj,led_sinyal,led_stop,nos,on_cam,on_koruma_bari,price,sahibinden,ses_sistemi,sirt_destegi,xenon_far,yan_koruma_barlari,year
0,False,15.11.2017,ACİL ACİL ARAÇ TAKASLI,/ilan/vasita-motosiklet-yamaha-acil-acil-arac-takasli-502128861/detay,False,False,False,502128861,False,False,False,False,Balıkesir,Mavi,False,False,False,47000.0,False,False,False,False,False,False,13500.0,True,False,False,False,False,2015.0
1,False,15.11.2017,YAMAHA MT-25 4 YIL GARANTİ İLK BAKIM HEDİYE,/ilan/vasita-motosiklet-yamaha-yamaha-mt-25-4-yil-garanti-ilk-bakim-hediye-458324770/detay,False,False,False,458324770,False,False,False,False,İstanbul,Siyah,False,False,False,0.0,False,False,False,False,False,False,18450.0,False,False,False,False,False,2017.0
2,False,15.11.2017,Ilk sahıbınden temyız Sıyah ıncı cumaya kadar özel fıyat,/ilan/vasita-motosiklet-yamaha-ilk-sahibinden-temyiz-siyah-inci-cumaya-kadar-ozel-fiyat-492545284/detay,False,False,False,492545284,False,False,False,False,İstanbul,Siyah,False,False,False,18000.0,False,False,False,False,False,False,12000.0,False,False,False,False,True,2016.0
3,False,15.11.2017,HATASIZ ORJİNAL,/ilan/vasita-motosiklet-yamaha-hatasiz-orjinal-501882475/detay,False,False,False,501882475,False,False,False,False,Kocaeli,Siyah,False,False,False,11000.0,False,False,False,False,False,False,16600.0,True,False,False,False,False,2015.0
4,False,14.11.2017,Acil bir hafta için uygun fiyatlı 15800 tl,/ilan/vasita-motosiklet-yamaha-acil-bir-hafta-icin-uygun-fiyatli-15.800-tl-501863469/detay,False,False,False,501863469,False,False,False,False,İstanbul,Mavi,False,False,False,800.0,False,False,False,False,False,False,15800.0,True,False,False,False,False,2016.0
5,False,14.11.2017,Olduğu yerde sola yatmıştır,/ilan/vasita-motosiklet-yamaha-oldugu-yerde-sola-yatmistir-501246691/detay,False,False,False,501246691,False,False,False,False,İstanbul,Gri,False,False,False,8700.0,False,False,False,False,False,False,14500.0,True,False,False,False,True,2016.0
6,False,14.11.2017,789 Km MT-25,/ilan/vasita-motosiklet-yamaha-789-km-mt-25-501767130/detay,False,False,False,501767130,False,False,False,False,İstanbul,Siyah,False,False,False,789.0,False,False,False,False,False,True,18500.0,True,False,False,False,True,2016.0
7,False,16.11.2017,MOTOVENTO Bahçelievler’den Tertemiz 2017 Renk Mt-25 // 9 Taksit,/ilan/vasita-motosiklet-yamaha-motovento-bahcelievler-den-tertemiz-2017-renk-mt-25-9-taksit-502459459/detay,False,False,False,502459459,False,False,False,False,İstanbul,Siyah,False,False,False,7442.0,False,False,False,False,False,False,17250.0,True,False,False,False,False,2016.0
8,True,14.11.2017,Yamaha MT-25 Hatasız,/ilan/vasita-motosiklet-yamaha-yamaha-mt-25-hatasiz-501685696/detay,False,False,False,501685696,False,False,False,False,Ordu,Siyah,False,False,False,5500.0,False,True,True,False,False,True,16500.0,True,False,False,False,True,2016.0
9,False,16.11.2017,ROSSO2li bilinçli kullanıcı,/ilan/vasita-motosiklet-yamaha-rosso2li-bilincli-kullanici-502255300/detay,False,False,False,502255300,False,False,False,False,İzmir,Gümüş Gri,False,False,False,21000.0,False,False,False,False,False,False,16750.0,True,False,False,False,False,2016.0
