,abs,ad_date,ad_title,ad_url,airbag,alarm,arka_bagaj,bike_id,canta_sistemi__uclu_,cbs,cekis_kontrolu,cift_ayak,city,color,gps,isitmali_elcik,karbon,km,koltuk_alti_bagaj,led_sinyal,led_stop,nos,on_cam,on_koruma_bari,price,sahibinden,ses_sistemi,sirt_destegi,xenon_far,yan_koruma_barlari,year
0,True,16.11.2017,REDLINE MOTO GÜVENCESİYLE,/ilan/vasita-motosiklet-yamaha-redline-moto-guvencesiyle-502551093/detay,False,False,False,502551093,False,False,False,False,Manisa,Gri,False,False,False,7500.0,False,False,False,False,False,False,17750.0,False,False,True,False,True,2016.0
1,False,20.11.2017,servisbakimli kimi desing,/ilan/vasita-motosiklet-yamaha-servisbakimli-kimi-desing-503941940/detay,False,False,False,503941940,False,False,False,False,Bursa,Siyah,False,False,False,16000.0,False,False,False,False,False,False,17000.0,True,False,False,False,False,2015.0
2,True,20.11.2017,sıfır ayarında tüm bakımlaı yapıldı,/ilan/vasita-motosiklet-yamaha-sifir-ayarinda-tum-bakimlai-yapildi-503929424/detay,False,False,False,503929424,False,False,False,True,Sakarya,Gri,False,False,False,40000.0,True,False,True,False,True,False,13500.0,True,False,True,False,False,2014.0
3,True,20.11.2017,2016 iron max full+full,/ilan/vasita-motosiklet-yamaha-2016-iron-max-full-plusfull-503881358/detay,False,False,False,503881358,False,False,False,False,İstanbul,Gri,False,False,False,11500.0,False,False,False,False,False,False,17000.0,True,False,True,False,True,2016.0
4,True,20.11.2017,Tertemiz ekstralı Kazasız Yeni bakımlı,/ilan/vasita-motosiklet-yamaha-tertemiz-ekstrali-kazasiz-yeni-bakimli-503847023/detay,False,False,True,503847023,False,False,False,True,İstanbul,Beyaz,False,True,False,31500.0,True,False,False,False,True,False,10000.0,True,False,True,False,False,2013.0
5,False,20.11.2017,2014 MODEL HATASIZ 20000 DE YAMAHA X-MAX,/ilan/vasita-motosiklet-yamaha-2014-model-hatasiz-20.000-de-yamaha-x-max-503829078/detay,False,False,False,503829078,False,False,False,False,Bursa,Siyah,False,False,False,20000.0,False,False,False,False,False,False,13750.0,False,False,False,False,False,2014.0
6,True,20.11.2017,28 MART 2017 CIKIŞLİ İRON MAX 250 ABS 851 KM’DE EXTRALİ,/ilan/vasita-motosiklet-yamaha-28-mart-2017-cikisli-iron-max-250-abs-851-km-de-extrali-503628381/detay,False,False,False,503628381,False,False,False,False,Çanakkale,Siyah,False,False,False,851.0,False,False,False,False,False,True,20600.0,True,False,True,False,True,2016.0
7,True,20.11.2017,BAKIMLI 2012 XMAX 250 ABS,/ilan/vasita-motosiklet-yamaha-bakimli-2012-xmax-250-abs-503608787/detay,False,False,True,503608787,False,False,False,True,Kocaeli,Beyaz,False,False,False,33289.0,True,False,False,False,True,False,11000.0,True,False,True,False,False,2012.0
8,True,19.11.2017,x max ıron max modeli,/ilan/vasita-motosiklet-yamaha-x-max-iron-max-modeli-503576785/detay,False,False,False,503576785,False,False,False,True,İstanbul,Gri,False,False,False,2155.0,True,False,False,False,True,False,19500.0,True,False,True,False,False,2017.0
9,False,20.11.2017,XMAX IRONMAX 2017 MODEL ÖZHANLAR YAMAH DAN HEMEN TESLİM!!!,/ilan/vasita-motosiklet-yamaha-xmax-ironmax-2017-model-ozhanlar-yamah-dan-hemen-teslim-463690480/detay,False,False,False,463690480,False,False,False,False,Denizli,Siyah,False,False,False,0.0,False,False,False,False,False,False,20700.0,False,False,False,False,False,2017.0
10,True,19.11.2017,2013 X-max 250 ABS 16000 km,/ilan/vasita-motosiklet-yamaha-2013-x-max-250-abs-16.000-km-503487333/detay,False,False,True,503487333,False,False,False,True,İstanbul,Beyaz,False,False,False,16000.0,True,False,False,False,True,False,13500.0,True,False,True,False,False,2013.0
11,True,20.11.2017,MOTOKİNG'den 2015 YAMAHA XMAX 250 - ABS HATASİZ SERVİS BAKİMLİ,/ilan/vasita-motosiklet-yamaha-motoking-den-2015-yamaha-xmax-250-abs-hatasiz-servis-bakimli-503838756/detay,False,False,False,503838756,False,False,False,True,Balıkesir,Siyah,False,False,False,17800.0,True,False,False,False,False,False,14750.0,False,False,True,False,False,2015.0
12,True,19.11.2017,Satılık xmax 250 abs,/ilan/vasita-motosiklet-yamaha-satilik-xmax-250-abs-503325944/detay,False,False,False,503325944,False,False,False,False,İstanbul,Gri,False,False,False,6000.0,False,False,False,False,False,False,18000.0,True,False,False,False,True,2017.0
13,True,18.11.2017,DOLU DOLU XMAX 250 ABS,/ilan/vasita-motosiklet-yamaha-dolu-dolu-xmax-250-abs-503284043/detay,False,False,False,503284043,False,False,False,False,İstanbul,Beyaz,False,False,True,25000.0,False,True,True,False,False,False,15750.0,True,False,False,True,False,2015.0
14,True,20.11.2017,SIFIR AYARINDADIR,/ilan/vasita-motosiklet-yamaha-sifir-ayarindadir-503907053/detay,False,False,False,503907053,False,False,False,False,Hatay,Beyaz,False,False,False,1500.0,False,False,False,False,False,False,17500.0,True,False,False,False,True,2016.0
15,True,18.11.2017,acil satılık yamaha x max,/ilan/vasita-motosiklet-yamaha-acil-satilik-yamaha-x-max-503164749/detay,False,False,False,503164749,False,False,False,False,İzmir,Gri,False,False,False,14600.0,False,False,False,False,False,False,13250.0,True,False,False,False,False,2014.0
16,True,20.11.2017,##Sahibinden 2016 model 3500km Full Abs li Xmax,/ilan/vasita-motosiklet-yamaha-sahibinden-2016-model-3500km-full-abs-li-xmax-503822590/detay,False,False,False,503822590,False,False,False,False,İzmir,Siyah,False,False,False,3900.0,True,False,False,False,True,True,19500.0,True,False,True,False,False,2016.0
17,True,18.11.2017,2016 Xmax 250 abs takas dusunulur,/ilan/vasita-motosiklet-yamaha-2016-xmax-250-abs-takas-dusunulur-502922229/detay,False,False,False,502922229,False,False,False,False,İzmir,Gri,False,False,False,15500.0,False,False,False,False,False,False,16500.0,True,False,False,False,True,2016.0
18,True,20.11.2017,servis bakimli orjinal hatasiz,/ilan/vasita-motosiklet-yamaha-servis-bakimli-orjinal-hatasiz-503631977/detay,False,False,False,503631977,False,False,False,False,Adana,Çift Renk,False,False,False,17000.0,False,False,False,False,False,False,15250.0,True,False,False,False,False,2015.0
19,True,17.11.2017,X MAX 250 ABS,/ilan/vasita-motosiklet-yamaha-x-max-250-abs-502926337/detay,False,False,False,502926337,False,False,False,True,Hatay,Siyah,False,False,False,11700.0,True,False,False,False,False,False,14900.0,True,False,True,True,False,2015.0
20,False,20.11.2017,MOTOROOM KAHRAMANLAR EKSTRALI X-MAX 250 MOMO DESİNG,/ilan/vasita-motosiklet-yamaha-motoroom-kahramanlar-ekstrali-x-max-250-momo-desing-461262027/detay,False,False,False,461262027,False,False,False,False,İzmir,Siyah,False,False,False,23000.0,False,False,False,False,False,False,12000.0,False,False,False,False,False,2013.0
21,True,17.11.2017,Yamaha X-Max 250 Iron Max- Kaçırılmayacak Fırsat- Çok Temiz,/ilan/vasita-motosiklet-yamaha-yamaha-x-max-250-iron-max-kacirilmayacak-firsat-cok-temiz-502878188/detay,False,False,False,502878188,False,False,False,True,İstanbul,Gri,False,False,False,3500.0,True,True,True,False,False,False,19500.0,True,False,False,False,True,2017.0
22,True,17.11.2017,X-MAX İRONMAX 360 km de hatasız Kazasız Boyasız Sıfır ayarında,/ilan/vasita-motosiklet-yamaha-x-max-ironmax-360-km-de-hatasiz-kazasiz-boyasiz-sifir-ayarinda-502874108/detay,False,False,False,502874108,False,False,False,False,Eskişehir,Gümüş Gri,False,False,False,360.0,False,False,False,False,False,False,21990.0,True,False,True,False,False,2016.0
