,abs,ad_date,ad_title,ad_url,airbag,alarm,arka_bagaj,bike_id,canta_sistemi__uclu_,cbs,cekis_kontrolu,cift_ayak,city,color,gps,isitmali_elcik,karbon,km,koltuk_alti_bagaj,led_sinyal,led_stop,nos,on_cam,on_koruma_bari,price,sahibinden,ses_sistemi,sirt_destegi,xenon_far,yan_koruma_barlari,year
0,False,16.11.2017,SAHİBİNDEN 2017 MAYIS ÇIKIŞLI HERSEYİ ORJİNAL,/ilan/vasita-motosiklet-yamaha-sahibinden-2017-mayis-cikisli-herseyi-orjinal-502484459/detay,False,False,False,502484459,False,False,False,False,İstanbul,Siyah,False,False,False,8590.0,False,False,False,False,False,False,15750.0,True,False,False,False,False,2016.0
1,False,16.11.2017,xmax 250 full 1200 kmde,/ilan/vasita-motosiklet-yamaha-xmax-250-full-1200-kmde-502452309/detay,False,False,False,502452309,False,False,False,True,Ankara,Siyah,False,False,False,1200.0,True,False,False,False,True,False,16250.0,True,False,True,False,True,2015.0
2,False,16.11.2017,Temiz kullanılmış,/ilan/vasita-motosiklet-yamaha-temiz-kullanilmis-502457726/detay,False,False,False,502457726,False,False,False,False,Antalya,Gri,False,False,False,15300.0,False,False,False,False,False,False,13900.0,True,False,False,False,False,2015.0
3,False,16.11.2017,Momodesing 7100km full,/ilan/vasita-motosiklet-yamaha-momodesing-7.100km-full-502429687/detay,False,False,True,502429687,False,False,False,False,İstanbul,Çift Renk,False,False,False,7120.0,False,False,False,False,False,False,16800.0,True,False,True,False,True,2015.0
4,True,16.11.2017,Temiz Makina İsteyenlere Duyrulur,/ilan/vasita-motosiklet-yamaha-temiz-makina-isteyenlere-duyrulur-502389818/detay,False,False,False,502389818,False,False,False,True,Adıyaman,Gri,False,False,True,10000.0,True,False,True,False,True,True,14500.0,True,False,False,True,False,2015.0
5,False,16.11.2017,MOMODESIGN,/ilan/vasita-motosiklet-yamaha-momodesign-502241961/detay,False,False,False,502241961,False,False,False,False,Muğla,Siyah,False,False,False,7850.0,False,False,False,False,False,False,16500.0,True,False,False,False,False,2015.0
6,False,16.11.2017,PARK AUTO 2015 YAMAHA X-MAX 250,/ilan/vasita-motosiklet-yamaha-park-auto-2015-yamaha-x-max-250-502284053/detay,False,False,False,502284053,False,False,False,True,İstanbul,Beyaz,False,False,False,18000.0,True,False,False,False,True,False,13500.0,False,False,False,True,False,2015.0
7,False,15.11.2017,KIZILTOPRAK MOTOTAŞ'TAN 2015 MODEL X-MAX 250,/ilan/vasita-motosiklet-yamaha-kiziltoprak-mototas-tan-2015-model-x-max-250-502171504/detay,False,False,False,502171504,False,False,False,False,İstanbul,Gri,False,False,False,6234.0,False,False,False,False,False,False,14000.0,False,False,False,False,False,2015.0
8,False,15.11.2017,İLK SAHİBİNDEN 2014 MODEL NOKTA HATASIZ VE EMSALSİZ X-MAX 250,/ilan/vasita-motosiklet-yamaha-ilk-sahibinden-2014-model-nokta-hatasiz-ve-emsalsiz-x-max-250-502077318/detay,False,False,True,502077318,False,False,False,True,İstanbul,Siyah,False,False,False,32000.0,False,False,False,False,False,False,14000.0,True,False,True,False,True,2014.0
9,False,15.11.2017,"4,000 TL PEŞİN 1,200 X 10 AY SENETLE TAKSİTLENDİRİLİR",/ilan/vasita-motosiklet-yamaha-4%2C000-tl-pesin-1%2C200-x-10-ay-senetle-taksitlendirilir-502150471/detay,False,False,False,502150471,False,False,False,False,İstanbul,Gri,False,False,False,35000.0,False,False,False,False,False,False,12000.0,False,False,False,False,False,2012.0
